A,B,linkA,linkB,prerequisites,source,domin,language
Deficit irrigation,Carbon cycle,https://en.wikipedia.org/wiki/Deficit_irrigation,https://en.wikipedia.org/wiki/Carbon_cycle,A->B,CMU,Global Warming,en
Fermentation (biochemistry),Carbon cycle,https://en.wikipedia.org/wiki/Fermentation,https://en.wikipedia.org/wiki/Carbon_cycle,A->B,CMU,Global Warming,en
Ocean,Carbon cycle,https://en.wikipedia.org/wiki/Ocean,https://en.wikipedia.org/wiki/Carbon_cycle,A->B,CMU,Global Warming,en
Organic compound,Carbon cycle,https://en.wikipedia.org/wiki/Organic_compound,https://en.wikipedia.org/wiki/Carbon_cycle,A->B,CMU,Global Warming,en
Peat,Carbon cycle,https://en.wikipedia.org/wiki/Peat,https://en.wikipedia.org/wiki/Carbon_cycle,A->B,CMU,Global Warming,en
Respiration (physiology),Carbon cycle,https://en.wikipedia.org/wiki/Respiration_(physiology),https://en.wikipedia.org/wiki/Carbon_cycle,A->B,CMU,Global Warming,en
Sediment trap,Carbon cycle,https://en.wikipedia.org/wiki/Sediment_trap,https://en.wikipedia.org/wiki/Carbon_cycle,A->B,CMU,Global Warming,en
Solubility pump,Carbon cycle,https://en.wikipedia.org/wiki/Solubility_pump,https://en.wikipedia.org/wiki/Carbon_cycle,A->B,CMU,Global Warming,en
Volcanic gas,Carbon cycle,https://en.wikipedia.org/wiki/Volcanic_gas,https://en.wikipedia.org/wiki/Carbon_cycle,A->B,CMU,Global Warming,en
Volcano,Carbon cycle,https://en.wikipedia.org/wiki/Volcano,https://en.wikipedia.org/wiki/Carbon_cycle,A->B,CMU,Global Warming,en
Apnea,Carbon dioxide,https://en.wikipedia.org/wiki/Apnea,https://en.wikipedia.org/wiki/Carbon_dioxide,A->B,CMU,Global Warming,en
Calcium hydroxide,Carbon dioxide,https://en.wikipedia.org/wiki/Calcium_hydroxide,https://en.wikipedia.org/wiki/Carbon_dioxide,A->B,CMU,Global Warming,en
Carbon dioxide sensor,Carbon dioxide,https://en.wikipedia.org/wiki/Carbon_dioxide_sensor,https://en.wikipedia.org/wiki/Carbon_dioxide,A->B,CMU,Global Warming,en
Carbon monoxide,Carbon dioxide,https://en.wikipedia.org/wiki/Carbon_monoxide,https://en.wikipedia.org/wiki/Carbon_dioxide,A->B,CMU,Global Warming,en
Carbon sequestration,Carbon dioxide,https://en.wikipedia.org/wiki/Carbon_sequestration,https://en.wikipedia.org/wiki/Carbon_dioxide,A->B,CMU,Global Warming,en
Carboxylic acid,Carbon dioxide,https://en.wikipedia.org/wiki/Carboxylic_acid,https://en.wikipedia.org/wiki/Carbon_dioxide,A->B,CMU,Global Warming,en
Combustion,Carbon dioxide,https://en.wikipedia.org/wiki/Combustion,https://en.wikipedia.org/wiki/Carbon_dioxide,A->B,CMU,Global Warming,en
Industrial Revolution,Carbon dioxide,https://en.wikipedia.org/wiki/Industrial_Revolution,https://en.wikipedia.org/wiki/Carbon_dioxide,A->B,CMU,Global Warming,en
Must,Carbon dioxide,https://en.wikipedia.org/wiki/Must,https://en.wikipedia.org/wiki/Carbon_dioxide,A->B,CMU,Global Warming,en
Ocean acidification,Carbon dioxide,https://en.wikipedia.org/wiki/Ocean_acidification,https://en.wikipedia.org/wiki/Carbon_dioxide,A->B,CMU,Global Warming,en
Pascal (unit),Carbon dioxide,https://en.wikipedia.org/wiki/Pascal_(unit),https://en.wikipedia.org/wiki/Carbon_dioxide,A->B,CMU,Global Warming,en
Sedimentary rock,Carbon dioxide,https://en.wikipedia.org/wiki/Sedimentary_rock,https://en.wikipedia.org/wiki/Carbon_dioxide,A->B,CMU,Global Warming,en
Tin dioxide,Carbon dioxide,https://en.wikipedia.org/wiki/Tin(IV)_oxide,https://en.wikipedia.org/wiki/Carbon_dioxide,A->B,CMU,Global Warming,en
Volcano,Carbon dioxide,https://en.wikipedia.org/wiki/Volcano,https://en.wikipedia.org/wiki/Carbon_dioxide,None,CMU,Global Warming,en
Altimeter,Climate change,https://en.wikipedia.org/wiki/Altimeter,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Anthropocene,Climate change,https://en.wikipedia.org/wiki/Anthropocene,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Boundary current,Climate change,https://en.wikipedia.org/wiki/Boundary_current,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Continental climate,Climate change,https://en.wikipedia.org/wiki/Continental_climate,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Deforestation,Climate change,https://en.wikipedia.org/wiki/Deforestation,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Historical document,Climate change,https://en.wikipedia.org/wiki/Historical_document,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Ice age,Climate change,https://en.wikipedia.org/wiki/Ice_age,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Palynology,Climate change,https://en.wikipedia.org/wiki/Palynology,https://en.wikipedia.org/wiki/Climate_change,None,CMU,Global Warming,en
Pliocene,Climate change,https://en.wikipedia.org/wiki/Pliocene,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Polar desert,Climate change,https://en.wikipedia.org/wiki/Polar_desert,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Primary production,Climate change,https://en.wikipedia.org/wiki/Primary_production,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Red giant,Climate change,https://en.wikipedia.org/wiki/Red_giant,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Solar variation,Climate change,https://en.wikipedia.org/wiki/Solar_cycle,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Tide gauge,Climate change,https://en.wikipedia.org/wiki/Tide_gauge,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Toba catastrophe theory,Climate change,https://en.wikipedia.org/wiki/Toba_catastrophe_theory,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Arctic Ocean Conference,Climate change in the Arctic,https://en.wikipedia.org/wiki/Arctic_Ocean_Conference,https://en.wikipedia.org/wiki/Climate_change_in_the_Arctic,A->B,CMU,Global Warming,en
Beaufort Sea,Climate change in the Arctic,https://en.wikipedia.org/wiki/Beaufort_Sea,https://en.wikipedia.org/wiki/Climate_change_in_the_Arctic,A->B,CMU,Global Warming,en
Canada,Climate change in the Arctic,https://en.wikipedia.org/wiki/Canada,https://en.wikipedia.org/wiki/Climate_change_in_the_Arctic,A->B,CMU,Global Warming,en
European Space Agency,Climate change in the Arctic,https://en.wikipedia.org/wiki/European_Space_Agency,https://en.wikipedia.org/wiki/Climate_change_in_the_Arctic,A->B,CMU,Global Warming,en
Foreign minister,Climate change in the Arctic,https://en.wikipedia.org/wiki/Foreign_minister,https://en.wikipedia.org/wiki/Climate_change_in_the_Arctic,A->B,CMU,Global Warming,en
Greenland ice sheet,Climate change in the Arctic,https://en.wikipedia.org/wiki/Greenland_ice_sheet,https://en.wikipedia.org/wiki/Climate_change_in_the_Arctic,A->B,CMU,Global Warming,en
Habitat,Climate change in the Arctic,https://en.wikipedia.org/wiki/Habitat,https://en.wikipedia.org/wiki/Climate_change_in_the_Arctic,A->B,CMU,Global Warming,en
Intergovernmental Panel on Climate Change,Climate change in the Arctic,https://en.wikipedia.org/wiki/Intergovernmental_Panel_on_Climate_Change,https://en.wikipedia.org/wiki/Climate_change_in_the_Arctic,A->B,CMU,Global Warming,en
Ozone depletion,Climate change in the Arctic,https://en.wikipedia.org/wiki/Ozone_depletion,https://en.wikipedia.org/wiki/Climate_change_in_the_Arctic,A->B,CMU,Global Warming,en
Per_Stig_M?ller,Climate change in the Arctic,https://en.wikipedia.org/wiki/Per_Stig_M%C3%B8ller,https://en.wikipedia.org/wiki/Climate_change_in_the_Arctic,A->B,CMU,Global Warming,en
Polar bear,Climate change in the Arctic,https://en.wikipedia.org/wiki/Polar_bear,https://en.wikipedia.org/wiki/Climate_change_in_the_Arctic,A->B,CMU,Global Warming,en
Younger Dryas,Climate change in the Arctic,https://en.wikipedia.org/wiki/Younger_Dryas,https://en.wikipedia.org/wiki/Climate_change_in_the_Arctic,A->B,CMU,Global Warming,en
Colorado,Climate model,https://en.wikipedia.org/wiki/Colorado,https://en.wikipedia.org/wiki/Climate_model,A->B,CMU,Global Warming,en
New Jersey,Climate model,https://en.wikipedia.org/wiki/New_Jersey,https://en.wikipedia.org/wiki/Climate_model,A->B,CMU,Global Warming,en
Albedo,Climate model,https://en.wikipedia.org/wiki/Albedo,https://en.wikipedia.org/wiki/Climate_model,A->B,CMU,Global Warming,en
Chemical species,Climate model,https://en.wikipedia.org/wiki/Chemical_species,https://en.wikipedia.org/wiki/Climate_model,A->B,CMU,Global Warming,en
Climate,Climate model,https://en.wikipedia.org/wiki/Climate,https://en.wikipedia.org/wiki/Climate_model,A->B,CMU,Global Warming,en
Electromagnetic radiation,Climate model,https://en.wikipedia.org/wiki/Electromagnetic_radiation,https://en.wikipedia.org/wiki/Climate_model,A->B,CMU,Global Warming,en
Energy,Climate model,https://en.wikipedia.org/wiki/Energy,https://en.wikipedia.org/wiki/Climate_model,A->B,CMU,Global Warming,en
Greenhouse gas,Climate model,https://en.wikipedia.org/wiki/Greenhouse_gas,https://en.wikipedia.org/wiki/Climate_model,A->B,CMU,Global Warming,en
Hadley Centre for Climate Prediction and Research,Climate model,https://en.wikipedia.org/wiki/Met_Office_Hadley_Centre,https://en.wikipedia.org/wiki/Climate_model,A->B,CMU,Global Warming,en
Infrared,Climate model,https://en.wikipedia.org/wiki/Infrared,https://en.wikipedia.org/wiki/Climate_model,A->B,CMU,Global Warming,en
Land use,Climate model,https://en.wikipedia.org/wiki/Land_use,https://en.wikipedia.org/wiki/Climate_model,A->B,CMU,Global Warming,en
Ocean current,Climate model,https://en.wikipedia.org/wiki/Ocean_current,https://en.wikipedia.org/wiki/Climate_model,A->B,CMU,Global Warming,en
Radiative forcing,Climate model,https://en.wikipedia.org/wiki/Radiative_forcing,https://en.wikipedia.org/wiki/Climate_model,A->B,CMU,Global Warming,en
Sea ice,Climate model,https://en.wikipedia.org/wiki/Sea_ice,https://en.wikipedia.org/wiki/Climate_model,A->B,CMU,Global Warming,en
Sea surface temperature,Climate model,https://en.wikipedia.org/wiki/Sea_surface_temperature,https://en.wikipedia.org/wiki/Climate_model,A->B,CMU,Global Warming,en
Stefan¨CBoltzmann law,Climate model,https://en.wikipedia.org/wiki/Stefan%E2%80%93Boltzmann_law,https://en.wikipedia.org/wiki/Climate_model,A->B,CMU,Global Warming,en
Troposphere,Climate model,https://en.wikipedia.org/wiki/Troposphere,https://en.wikipedia.org/wiki/Climate_model,A->B,CMU,Global Warming,en
Antarctic,Current sea level rise,https://en.wikipedia.org/wiki/Antarctic,https://en.wikipedia.org/wiki/Sea_level_rise,A->B,CMU,Global Warming,en
Economic growth,Current sea level rise,https://en.wikipedia.org/wiki/Economic_growth,https://en.wikipedia.org/wiki/Sea_level_rise,A->B,CMU,Global Warming,en
Gravimetry,Current sea level rise,https://en.wikipedia.org/wiki/Gravimetry,https://en.wikipedia.org/wiki/Sea_level_rise,A->B,CMU,Global Warming,en
Greenland ice sheet,Current sea level rise,https://en.wikipedia.org/wiki/Greenland_ice_sheet,https://en.wikipedia.org/wiki/Sea_level_rise,A->B,CMU,Global Warming,en
Ice age,Current sea level rise,https://en.wikipedia.org/wiki/Ice_age,https://en.wikipedia.org/wiki/Sea_level_rise,A->B,CMU,Global Warming,en
Kilometre,Current sea level rise,https://en.wikipedia.org/wiki/Kilometre,https://en.wikipedia.org/wiki/Sea_level_rise,A->B,CMU,Global Warming,en
Lake,Current sea level rise,https://en.wikipedia.org/wiki/Lake,https://en.wikipedia.org/wiki/Sea_level_rise,A->B,CMU,Global Warming,en
Meltwater pulse 1A,Current sea level rise,https://en.wikipedia.org/wiki/Meltwater_pulse_1A,https://en.wikipedia.org/wiki/Sea_level_rise,A->B,CMU,Global Warming,en
Northern Hemisphere,Current sea level rise,https://en.wikipedia.org/wiki/Northern_Hemisphere,https://en.wikipedia.org/wiki/Sea_level_rise,A->B,CMU,Global Warming,en
Sea ice,Current sea level rise,https://en.wikipedia.org/wiki/Sea_ice,https://en.wikipedia.org/wiki/Sea_level_rise,A->B,CMU,Global Warming,en
Southern Hemisphere,Current sea level rise,https://en.wikipedia.org/wiki/Southern_Hemisphere,https://en.wikipedia.org/wiki/Sea_level_rise,A->B,CMU,Global Warming,en
Surveying,Current sea level rise,https://en.wikipedia.org/wiki/Surveying,https://en.wikipedia.org/wiki/Sea_level_rise,A->B,CMU,Global Warming,en
University of Kiel,Current sea level rise,https://en.wikipedia.org/wiki/University_of_Kiel,https://en.wikipedia.org/wiki/Sea_level_rise,A->B,CMU,Global Warming,en
West Caicos,Current sea level rise,https://en.wikipedia.org/wiki/West_Caicos,https://en.wikipedia.org/wiki/Sea_level_rise,A->B,CMU,Global Warming,en
Abiogenic petroleum origin,Fossil fuel,https://en.wikipedia.org/wiki/Abiogenic_petroleum_origin,https://en.wikipedia.org/wiki/Fossil_fuel,A->B,CMU,Global Warming,en
Bottom ash,Fossil fuel,https://en.wikipedia.org/wiki/Bottom_ash,https://en.wikipedia.org/wiki/Fossil_fuel,A->B,CMU,Global Warming,en
Coal,Fossil fuel,https://en.wikipedia.org/wiki/Coal,https://en.wikipedia.org/wiki/Fossil_fuel,A->B,CMU,Global Warming,en
Energy development,Fossil fuel,https://en.wikipedia.org/wiki/Energy_development,https://en.wikipedia.org/wiki/Fossil_fuel,A->B,CMU,Global Warming,en
Environmental law,Fossil fuel,https://en.wikipedia.org/wiki/Environmental_law,https://en.wikipedia.org/wiki/Fossil_fuel,A->B,CMU,Global Warming,en
Fly ash,Fossil fuel,https://en.wikipedia.org/wiki/Fly_ash,https://en.wikipedia.org/wiki/Fossil_fuel,A->B,CMU,Global Warming,en
Fossil fuel power station,Fossil fuel,https://en.wikipedia.org/wiki/Fossil_fuel_power_station,https://en.wikipedia.org/wiki/Fossil_fuel,A->B,CMU,Global Warming,en
Geothermal electricity,Fossil fuel,https://en.wikipedia.org/wiki/Geothermal_power,https://en.wikipedia.org/wiki/Fossil_fuel,A->B,CMU,Global Warming,en
Redox,Fossil fuel,https://en.wikipedia.org/wiki/Redox,https://en.wikipedia.org/wiki/Fossil_fuel,A->B,CMU,Global Warming,en
Renewable energy,Fossil fuel,https://en.wikipedia.org/wiki/Renewable_energy,https://en.wikipedia.org/wiki/Fossil_fuel,A->B,CMU,Global Warming,en
Reserves-to-production ratio,Fossil fuel,https://en.wikipedia.org/wiki/Reserves-to-production_ratio,https://en.wikipedia.org/wiki/Fossil_fuel,A->B,CMU,Global Warming,en
Sawmill,Fossil fuel,https://en.wikipedia.org/wiki/Sawmill,https://en.wikipedia.org/wiki/Fossil_fuel,A->B,CMU,Global Warming,en
Thorium,Fossil fuel,https://en.wikipedia.org/wiki/Thorium,https://en.wikipedia.org/wiki/Fossil_fuel,A->B,CMU,Global Warming,en
United Nations Climate Change Conference,Global warming,https://en.wikipedia.org/wiki/United_Nations_Climate_Change_conference,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
United Nations Climate Change Conference,Global warming,https://en.wikipedia.org/wiki/United_Nations_Climate_Change_conference,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Abrupt climate change,Global warming,https://en.wikipedia.org/wiki/Abrupt_climate_change,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Absorption (electromagnetic radiation),Global warming,https://en.wikipedia.org/wiki/Absorption_(electromagnetic_radiation),https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Albrecht effect,Global warming,https://en.wikipedia.org/wiki/Albrecht_effect,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
American Meteorological Society,Global warming,https://en.wikipedia.org/wiki/American_Meteorological_Society,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
American Quaternary Association,Global warming,https://en.wikipedia.org/wiki/American_Quaternary_Association,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Arctic methane release,Global warming,https://en.wikipedia.org/wiki/Arctic_methane_emissions,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Asian brown cloud,Global warming,https://en.wikipedia.org/wiki/Asian_brown_cloud,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Attribution of recent climate change,Global warming,https://en.wikipedia.org/wiki/Attribution_of_recent_climate_change,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Australia,Global warming,https://en.wikipedia.org/wiki/Australia,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Biosphere,Global warming,https://en.wikipedia.org/wiki/Biosphere,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Canada,Global warming,https://en.wikipedia.org/wiki/Canada,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Canadian Foundation for Climate and Atmospheric Sciences,Global warming,https://en.wikipedia.org/wiki/Canadian_Foundation_for_Climate_and_Atmospheric_Sciences,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Canc¨²n,Global warming,https://en.wikipedia.org/wiki/Canc%C3%BAn,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Carbon cycle,Global warming,https://en.wikipedia.org/wiki/Carbon_cycle,https://en.wikipedia.org/wiki/Climate_change,None,CMU,Global Warming,en
Carbon sequestration,Global warming,https://en.wikipedia.org/wiki/Carbon_sequestration,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Carbon sink,Global warming,https://en.wikipedia.org/wiki/Carbon_sink,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Caribbean,Global warming,https://en.wikipedia.org/wiki/Caribbean,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Climate change and agriculture,Global warming,https://en.wikipedia.org/wiki/Climate_change_and_agriculture,https://en.wikipedia.org/wiki/Climate_change,None,CMU,Global Warming,en
Climate change and ecosystems,Global warming,https://en.wikipedia.org/wiki/Climate_change_and_ecosystems,https://en.wikipedia.org/wiki/Climate_change,None,CMU,Global Warming,en
Climate change in the Arctic,Global warming,https://en.wikipedia.org/wiki/Climate_change_in_the_Arctic,https://en.wikipedia.org/wiki/Climate_change,None,CMU,Global Warming,en
Climate commitment,Global warming,https://en.wikipedia.org/wiki/Climate_commitment,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Climate model,Global warming,https://en.wikipedia.org/wiki/Climate_model,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Climatic Research Unit,Global warming,https://en.wikipedia.org/wiki/Climatic_Research_Unit,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Cloud condensation nuclei,Global warming,https://en.wikipedia.org/wiki/Cloud_condensation_nuclei,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Cloud forcing,Global warming,https://en.wikipedia.org/wiki/Cloud_forcing,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Coal,Global warming,https://en.wikipedia.org/wiki/Coal,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Cosmic ray,Global warming,https://en.wikipedia.org/wiki/Cosmic_ray,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Crop yield,Global warming,https://en.wikipedia.org/wiki/Crop_yield,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Cryosphere,Global warming,https://en.wikipedia.org/wiki/Cryosphere,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Current sea level rise,Global warming,https://en.wikipedia.org/wiki/Sea_level_rise,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Deforestation,Global warming,https://en.wikipedia.org/wiki/Deforestation,https://en.wikipedia.org/wiki/Climate_change,None,CMU,Global Warming,en
Deutsche Bank,Global warming,https://en.wikipedia.org/wiki/Deutsche_Bank,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Developed country,Global warming,https://en.wikipedia.org/wiki/Developed_country,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Developing country,Global warming,https://en.wikipedia.org/wiki/Developing_country,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Drought,Global warming,https://en.wikipedia.org/wiki/Drought,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Ecosystem,Global warming,https://en.wikipedia.org/wiki/Ecosystem,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Effects of global warming,Global warming,https://en.wikipedia.org/wiki/Effects_of_climate_change,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
El Ni?o¨CSouthern Oscillation,Global warming,https://en.wikipedia.org/wiki/El_Ni%C3%B1o%E2%80%93Southern_Oscillation,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Emission spectrum,Global warming,https://en.wikipedia.org/wiki/Emission_spectrum,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
European Academy of Sciences and Arts,Global warming,https://en.wikipedia.org/wiki/European_Academy_of_Sciences_and_Arts,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
European Geosciences Union,Global warming,https://en.wikipedia.org/wiki/European_Geosciences_Union,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
European Science Foundation,Global warming,https://en.wikipedia.org/wiki/European_Science_Foundation,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Extinction,Global warming,https://en.wikipedia.org/wiki/Extinction,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Extinction risk from global warming,Global warming,https://en.wikipedia.org/wiki/Extinction_risk_from_climate_change,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Extreme weather,Global warming,https://en.wikipedia.org/wiki/Extreme_weather,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Flood,Global warming,https://en.wikipedia.org/wiki/Flood,https://en.wikipedia.org/wiki/Climate_change,None,CMU,Global Warming,en
Fluid dynamics,Global warming,https://en.wikipedia.org/wiki/Fluid_dynamics,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Fossil fuel,Global warming,https://en.wikipedia.org/wiki/Fossil_fuel,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Geoengineering,Global warming,https://en.wikipedia.org/wiki/Climate_engineering,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Geological Society of America,Global warming,https://en.wikipedia.org/wiki/Geological_Society_of_America,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Geological Society of London,Global warming,https://en.wikipedia.org/wiki/Geological_Society_of_London,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
George W. Bush,Global warming,https://en.wikipedia.org/wiki/George_W._Bush,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Germany,Global warming,https://en.wikipedia.org/wiki/Germany,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Global dimming,Global warming,https://en.wikipedia.org/wiki/Global_dimming,https://en.wikipedia.org/wiki/Climate_change,None,CMU,Global Warming,en
Global warming controversy,Global warming,https://en.wikipedia.org/wiki/Global_warming_controversy,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Glossary of climate change,Global warming,https://en.wikipedia.org/wiki/Glossary_of_climate_change,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Gray whale,Global warming,https://en.wikipedia.org/wiki/Gray_whale,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Greenhouse gas,Global warming,https://en.wikipedia.org/wiki/Greenhouse_gas,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
Group of 77,Global warming,https://en.wikipedia.org/wiki/Group_of_77,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
HadCM3,Global warming,https://en.wikipedia.org/wiki/HadCM3,https://en.wikipedia.org/wiki/Climate_change,A->B,CMU,Global Warming,en
