A,B,linkA,linkB,prerequisites,source,domin,language
Boosting (machine learning),Random forest,https://en.wikipedia.org/wiki/Boosting_(machine_learning),https://en.wikipedia.org/wiki/Random_forest,None,AL-CPL,data_mining,en
Machine learning,K-means Computer_cluster,https://en.wikipedia.org/wiki/Machine_learning,https://en.wikipedia.org/wiki/K-means_Computer_cluster,A->B,AL-CPL,data_mining,en
Natural selection,Mutation (genetic algorithm),https://en.wikipedia.org/wiki/Natural_selection,https://en.wikipedia.org/wiki/Mutation_(genetic_algorithm),A->B,AL-CPL,data_mining,en
Information retrieval,Cluster analysis,https://en.wikipedia.org/wiki/Information_retrieval,https://en.wikipedia.org/wiki/Cluster_analysis,None,AL-CPL,data_mining,en
Probability density function,Support vector machine,https://en.wikipedia.org/wiki/Probability_density_function,https://en.wikipedia.org/wiki/Support-vector_machine,A->B,AL-CPL,data_mining,en
Maxima and minima,Gradient descent,https://en.wikipedia.org/wiki/Maxima_and_minima,https://en.wikipedia.org/wiki/Gradient_descent,A->B,AL-CPL,data_mining,en
Bayesian network,Conditional probability,https://en.wikipedia.org/wiki/Bayesian_network,https://en.wikipedia.org/wiki/Conditional_probability,None,AL-CPL,data_mining,en
Artificial neural network,Statistical classification,https://en.wikipedia.org/wiki/Artificial_neural_network,https://en.wikipedia.org/wiki/Statistical_classification,None,AL-CPL,data_mining,en
F score,Standard deviation,https://en.wikipedia.org/wiki/F-score,https://en.wikipedia.org/wiki/Standard_deviation,None,AL-CPL,data_mining,en
Joint probability distribution,AdaBoost,https://en.wikipedia.org/wiki/Joint_probability_distribution,https://en.wikipedia.org/wiki/AdaBoost,A->B,AL-CPL,data_mining,en
Type I and type II errors,Statistical hypothesis testing,https://en.wikipedia.org/wiki/Type_I_and_type_II_errors,https://en.wikipedia.org/wiki/Statistical_hypothesis_testing,None,AL-CPL,data_mining,en
Cluster analysis,Arithmetic mean,https://en.wikipedia.org/wiki/Cluster_analysis,https://en.wikipedia.org/wiki/Arithmetic_mean,None,AL-CPL,data_mining,en
Computer_cluster high-dimensional data,Correlation and dependence,https://en.wikipedia.org/wiki/Computer_cluster_high-dimensional_data,https://en.wikipedia.org/wiki/Correlation,None,AL-CPL,data_mining,en
Sensitivity and specificity,Confusion matrix,https://en.wikipedia.org/wiki/Sensitivity_and_specificity,https://en.wikipedia.org/wiki/Confusion_matrix,None,AL-CPL,data_mining,en
Precision and recall,Sample (statistics),https://en.wikipedia.org/wiki/Precision_and_recall,https://en.wikipedia.org/wiki/Sample_(statistics),None,AL-CPL,data_mining,en
Statistical classification,Sensitivity and specificity,https://en.wikipedia.org/wiki/Statistical_classification,https://en.wikipedia.org/wiki/Sensitivity_and_specificity,A->B,AL-CPL,data_mining,en
Sample (statistics),F score,https://en.wikipedia.org/wiki/Sample_(statistics),https://en.wikipedia.org/wiki/F-score,A->B,AL-CPL,data_mining,en
Standard deviation,Random forest,https://en.wikipedia.org/wiki/Standard_deviation,https://en.wikipedia.org/wiki/Random_forest,None,AL-CPL,data_mining,en
Prior probability,Bayesian network,https://en.wikipedia.org/wiki/Prior_probability,https://en.wikipedia.org/wiki/Bayesian_network,A->B,AL-CPL,data_mining,en
Regression analysis,Stepwise regression,https://en.wikipedia.org/wiki/Regression_analysis,https://en.wikipedia.org/wiki/Stepwise_regression,A->B,AL-CPL,data_mining,en
K-means Computer_cluster,K-medoids,https://en.wikipedia.org/wiki/K-means_Computer_cluster,https://en.wikipedia.org/wiki/K-medoids,None,AL-CPL,data_mining,en
Naive Bayes classifier,Statistical classification,https://en.wikipedia.org/wiki/Naive_Bayes_classifier,https://en.wikipedia.org/wiki/Statistical_classification,None,AL-CPL,data_mining,en
Hierarchical Computer_cluster,Correlation and dependence,https://en.wikipedia.org/wiki/Hierarchical_Computer_cluster,https://en.wikipedia.org/wiki/Correlation,None,AL-CPL,data_mining,en
Positive and negative predictive values,False positives and false negatives,https://en.wikipedia.org/wiki/Positive_and_negative_predictive_values,https://en.wikipedia.org/wiki/False_positives_and_false_negatives,None,AL-CPL,data_mining,en
Support vector machine,Linear separability,https://en.wikipedia.org/wiki/Support-vector_machine,https://en.wikipedia.org/wiki/Linear_separability,None,AL-CPL,data_mining,en
Cluster analysis,DBSCAN,https://en.wikipedia.org/wiki/Cluster_analysis,https://en.wikipedia.org/wiki/DBSCAN,A->B,AL-CPL,data_mining,en
Outlier,Interquartile range,https://en.wikipedia.org/wiki/Outlier,https://en.wikipedia.org/wiki/Interquartile_range,None,AL-CPL,data_mining,en
Hierarchical Computer_cluster,Standard deviation,https://en.wikipedia.org/wiki/Hierarchical_Computer_cluster,https://en.wikipedia.org/wiki/Standard_deviation,None,AL-CPL,data_mining,en
Cluster analysis,Hierarchical Computer_cluster,https://en.wikipedia.org/wiki/Cluster_analysis,https://en.wikipedia.org/wiki/Hierarchical_Computer_cluster,A->B,AL-CPL,data_mining,en
Null hypothesis,Precision and recall,https://en.wikipedia.org/wiki/Null_hypothesis,https://en.wikipedia.org/wiki/Precision_and_recall,A->B,AL-CPL,data_mining,en
Decision tree learning,Random forest,https://en.wikipedia.org/wiki/Decision_tree_learning,https://en.wikipedia.org/wiki/Random_forest,A->B,AL-CPL,data_mining,en
Bayesian network,Machine learning,https://en.wikipedia.org/wiki/Bayesian_network,https://en.wikipedia.org/wiki/Machine_learning,None,AL-CPL,data_mining,en
Correlation and dependence,Computer_cluster high-dimensional data,https://en.wikipedia.org/wiki/Correlation,https://en.wikipedia.org/wiki/Computer_cluster_high-dimensional_data,A->B,AL-CPL,data_mining,en
Naive Bayes classifier,Conditional probability,https://en.wikipedia.org/wiki/Naive_Bayes_classifier,https://en.wikipedia.org/wiki/Conditional_probability,None,AL-CPL,data_mining,en
Statistical classification,Decision tree model,https://en.wikipedia.org/wiki/Statistical_classification,https://en.wikipedia.org/wiki/Decision_tree_model,A->B,AL-CPL,data_mining,en
Bayesian network,Mixture model,https://en.wikipedia.org/wiki/Bayesian_network,https://en.wikipedia.org/wiki/Mixture_model,None,AL-CPL,data_mining,en
Fuzzy Computer_cluster,Cluster analysis,https://en.wikipedia.org/wiki/Fuzzy_Computer_cluster,https://en.wikipedia.org/wiki/Cluster_analysis,None,AL-CPL,data_mining,en
Confidence interval,Likelihood function,https://en.wikipedia.org/wiki/Confidence_interval,https://en.wikipedia.org/wiki/Likelihood_function,None,AL-CPL,data_mining,en
Data mining,Statistical hypothesis testing,https://en.wikipedia.org/wiki/Data_mining,https://en.wikipedia.org/wiki/Statistical_hypothesis_testing,None,AL-CPL,data_mining,en
Data analysis,DBSCAN,https://en.wikipedia.org/wiki/Data_analysis,https://en.wikipedia.org/wiki/DBSCAN,A->B,AL-CPL,data_mining,en
Statistical classification,Decision tree,https://en.wikipedia.org/wiki/Statistical_classification,https://en.wikipedia.org/wiki/Decision_tree,A->B,AL-CPL,data_mining,en
Bootstrapping (statistics),Random forest,https://en.wikipedia.org/wiki/Bootstrapping_(statistics),https://en.wikipedia.org/wiki/Random_forest,A->B,AL-CPL,data_mining,en
Likelihood function,Bayesian network,https://en.wikipedia.org/wiki/Likelihood_function,https://en.wikipedia.org/wiki/Bayesian_network,A->B,AL-CPL,data_mining,en
Least squares,Regression analysis,https://en.wikipedia.org/wiki/Least_squares,https://en.wikipedia.org/wiki/Regression_analysis,None,AL-CPL,data_mining,en
Regression analysis,Data mining,https://en.wikipedia.org/wiki/Regression_analysis,https://en.wikipedia.org/wiki/Data_mining,A->B,AL-CPL,data_mining,en
Outlier,Support vector machine,https://en.wikipedia.org/wiki/Outlier,https://en.wikipedia.org/wiki/Support-vector_machine,None,AL-CPL,data_mining,en
Naive Bayes classifier,Conditional probability distribution,https://en.wikipedia.org/wiki/Naive_Bayes_classifier,https://en.wikipedia.org/wiki/Conditional_probability_distribution,None,AL-CPL,data_mining,en
Data mining,Naive Bayes classifier,https://en.wikipedia.org/wiki/Data_mining,https://en.wikipedia.org/wiki/Naive_Bayes_classifier,None,AL-CPL,data_mining,en
Data mining,Outlier,https://en.wikipedia.org/wiki/Data_mining,https://en.wikipedia.org/wiki/Outlier,None,AL-CPL,data_mining,en
Probability density function,Decision tree learning,https://en.wikipedia.org/wiki/Probability_density_function,https://en.wikipedia.org/wiki/Decision_tree_learning,A->B,AL-CPL,data_mining,en
Sample (statistics),Confidence interval,https://en.wikipedia.org/wiki/Sample_(statistics),https://en.wikipedia.org/wiki/Confidence_interval,A->B,AL-CPL,data_mining,en
Sample (statistics),Statistical hypothesis testing,https://en.wikipedia.org/wiki/Sample_(statistics),https://en.wikipedia.org/wiki/Statistical_hypothesis_testing,A->B,AL-CPL,data_mining,en
Conditional independence,Naive Bayes classifier,https://en.wikipedia.org/wiki/Conditional_independence,https://en.wikipedia.org/wiki/Naive_Bayes_classifier,A->B,AL-CPL,data_mining,en
Mixture model,Hierarchical Computer_cluster,https://en.wikipedia.org/wiki/Mixture_model,https://en.wikipedia.org/wiki/Hierarchical_Computer_cluster,None,AL-CPL,data_mining,en
Ensemble learning,Backpropagation,https://en.wikipedia.org/wiki/Ensemble_learning,https://en.wikipedia.org/wiki/Backpropagation,None,AL-CPL,data_mining,en
Machine learning,Backpropagation,https://en.wikipedia.org/wiki/Machine_learning,https://en.wikipedia.org/wiki/Backpropagation,A->B,AL-CPL,data_mining,en
Conditional probability distribution,Joint probability distribution,https://en.wikipedia.org/wiki/Conditional_probability_distribution,https://en.wikipedia.org/wiki/Joint_probability_distribution,None,AL-CPL,data_mining,en
Naive Bayes classifier,Probability density function,https://en.wikipedia.org/wiki/Naive_Bayes_classifier,https://en.wikipedia.org/wiki/Probability_density_function,None,AL-CPL,data_mining,en
Arithmetic mean,Principal component analysis,https://en.wikipedia.org/wiki/Arithmetic_mean,https://en.wikipedia.org/wiki/Principal_component_analysis,A->B,AL-CPL,data_mining,en
Data mining,Web search engine,https://en.wikipedia.org/wiki/Data_mining,https://en.wikipedia.org/wiki/Search_engine,None,AL-CPL,data_mining,en
Bayes' theorem,Statistical hypothesis testing,https://en.wikipedia.org/wiki/Bayes%27_theorem,https://en.wikipedia.org/wiki/Statistical_hypothesis_testing,None,AL-CPL,data_mining,en
Statistical population,Statistical hypothesis testing,https://en.wikipedia.org/wiki/Statistical_population,https://en.wikipedia.org/wiki/Statistical_hypothesis_testing,A->B,AL-CPL,data_mining,en
Confidence interval,Statistical significance,https://en.wikipedia.org/wiki/Confidence_interval,https://en.wikipedia.org/wiki/Statistical_significance,A->B,AL-CPL,data_mining,en
Mixture model,Data analysis,https://en.wikipedia.org/wiki/Mixture_model,https://en.wikipedia.org/wiki/Data_analysis,None,AL-CPL,data_mining,en
Bayesian network,Prior probability,https://en.wikipedia.org/wiki/Bayesian_network,https://en.wikipedia.org/wiki/Prior_probability,None,AL-CPL,data_mining,en
Conditional probability,Association rule learning,https://en.wikipedia.org/wiki/Conditional_probability,https://en.wikipedia.org/wiki/Association_rule_learning,A->B,AL-CPL,data_mining,en
Association rule learning,Decision tree,https://en.wikipedia.org/wiki/Association_rule_learning,https://en.wikipedia.org/wiki/Decision_tree,None,AL-CPL,data_mining,en
BiComputer_cluster,Cluster analysis,https://en.wikipedia.org/wiki/BiComputer_cluster,https://en.wikipedia.org/wiki/Cluster_analysis,None,AL-CPL,data_mining,en
Expert system,Random forest,https://en.wikipedia.org/wiki/Expert_system,https://en.wikipedia.org/wiki/Random_forest,None,AL-CPL,data_mining,en
Linear regression,Regression analysis,https://en.wikipedia.org/wiki/Linear_regression,https://en.wikipedia.org/wiki/Regression_analysis,None,AL-CPL,data_mining,en
Confidence interval,Student's t-test,https://en.wikipedia.org/wiki/Confidence_interval,https://en.wikipedia.org/wiki/Student%27s_t-test,A->B,AL-CPL,data_mining,en
Support vector machine,Boosting (machine learning),https://en.wikipedia.org/wiki/Support-vector_machine,https://en.wikipedia.org/wiki/Boosting_(machine_learning),None,AL-CPL,data_mining,en
Standard deviation,Signal-to-noise ratio,https://en.wikipedia.org/wiki/Standard_deviation,https://en.wikipedia.org/wiki/Signal-to-noise_ratio,None,AL-CPL,data_mining,en
Backpropagation,Probability density function,https://en.wikipedia.org/wiki/Backpropagation,https://en.wikipedia.org/wiki/Probability_density_function,None,AL-CPL,data_mining,en
Correlation and dependence,Spectral Computer_cluster,https://en.wikipedia.org/wiki/Correlation,https://en.wikipedia.org/wiki/Spectral_Computer_cluster,A->B,AL-CPL,data_mining,en
Principal component analysis,Arithmetic mean,https://en.wikipedia.org/wiki/Principal_component_analysis,https://en.wikipedia.org/wiki/Arithmetic_mean,None,AL-CPL,data_mining,en
Signal-to-noise ratio,Principal component analysis,https://en.wikipedia.org/wiki/Signal-to-noise_ratio,https://en.wikipedia.org/wiki/Principal_component_analysis,None,AL-CPL,data_mining,en
Statistical significance,Statistical hypothesis testing,https://en.wikipedia.org/wiki/Statistical_significance,https://en.wikipedia.org/wiki/Statistical_hypothesis_testing,None,AL-CPL,data_mining,en
Statistical population,Sampling (statistics),https://en.wikipedia.org/wiki/Statistical_population,https://en.wikipedia.org/wiki/Sampling_(statistics),A->B,AL-CPL,data_mining,en
Statistical classification,Decision tree learning,https://en.wikipedia.org/wiki/Statistical_classification,https://en.wikipedia.org/wiki/Decision_tree_learning,A->B,AL-CPL,data_mining,en
Histogram,Naive Bayes classifier,https://en.wikipedia.org/wiki/Histogram,https://en.wikipedia.org/wiki/Naive_Bayes_classifier,None,AL-CPL,data_mining,en
Pruning (decision trees),Decision tree,https://en.wikipedia.org/wiki/Decision_tree_pruning,https://en.wikipedia.org/wiki/Decision_tree,None,AL-CPL,data_mining,en
AdaBoost,Ensemble learning,https://en.wikipedia.org/wiki/AdaBoost,https://en.wikipedia.org/wiki/Ensemble_learning,None,AL-CPL,data_mining,en
Student's t-test,Confidence interval,https://en.wikipedia.org/wiki/Student%27s_t-test,https://en.wikipedia.org/wiki/Confidence_interval,None,AL-CPL,data_mining,en
Cluster analysis,Computer_cluster high-dimensional data,https://en.wikipedia.org/wiki/Cluster_analysis,https://en.wikipedia.org/wiki/Computer_cluster_high-dimensional_data,A->B,AL-CPL,data_mining,en
Artificial neural network,Cluster analysis,https://en.wikipedia.org/wiki/Artificial_neural_network,https://en.wikipedia.org/wiki/Cluster_analysis,None,AL-CPL,data_mining,en
Cluster analysis,Mixture model,https://en.wikipedia.org/wiki/Cluster_analysis,https://en.wikipedia.org/wiki/Mixture_model,A->B,AL-CPL,data_mining,en
Accuracy and precision,Statistical significance,https://en.wikipedia.org/wiki/Accuracy_and_precision,https://en.wikipedia.org/wiki/Statistical_significance,None,AL-CPL,data_mining,en
Sensitivity and specificity,False positives and false negatives,https://en.wikipedia.org/wiki/Sensitivity_and_specificity,https://en.wikipedia.org/wiki/False_positives_and_false_negatives,None,AL-CPL,data_mining,en
Machine learning,Boosting (machine learning),https://en.wikipedia.org/wiki/Machine_learning,https://en.wikipedia.org/wiki/Boosting_(machine_learning),A->B,AL-CPL,data_mining,en
K-medoids,Arithmetic mean,https://en.wikipedia.org/wiki/K-medoids,https://en.wikipedia.org/wiki/Arithmetic_mean,None,AL-CPL,data_mining,en
Association rule learning,Anomaly detection,https://en.wikipedia.org/wiki/Association_rule_learning,https://en.wikipedia.org/wiki/Anomaly_detection,None,AL-CPL,data_mining,en
Statistical classification,Linear separability,https://en.wikipedia.org/wiki/Statistical_classification,https://en.wikipedia.org/wiki/Linear_separability,None,AL-CPL,data_mining,en
Statistical classification,Support vector machine,https://en.wikipedia.org/wiki/Statistical_classification,https://en.wikipedia.org/wiki/Support-vector_machine,A->B,AL-CPL,data_mining,en
Data analysis,Cluster analysis,https://en.wikipedia.org/wiki/Data_analysis,https://en.wikipedia.org/wiki/Cluster_analysis,A->B,AL-CPL,data_mining,en
Mixture model,Probability density function,https://en.wikipedia.org/wiki/Mixture_model,https://en.wikipedia.org/wiki/Probability_density_function,None,AL-CPL,data_mining,en
Support vector machine,Naive Bayes classifier,https://en.wikipedia.org/wiki/Support-vector_machine,https://en.wikipedia.org/wiki/Naive_Bayes_classifier,None,AL-CPL,data_mining,en
Naive Bayes classifier,Maximum likelihood,https://en.wikipedia.org/wiki/Naive_Bayes_classifier,https://en.wikipedia.org/wiki/Maximum_likelihood_estimation,None,AL-CPL,data_mining,en
Computer_cluster high-dimensional data,Arithmetic mean,https://en.wikipedia.org/wiki/Computer_cluster_high-dimensional_data,https://en.wikipedia.org/wiki/Arithmetic_mean,None,AL-CPL,data_mining,en
Artificial neural network,Principal component analysis,https://en.wikipedia.org/wiki/Artificial_neural_network,https://en.wikipedia.org/wiki/Principal_component_analysis,None,AL-CPL,data_mining,en
Multiclass classification,Support vector machine,https://en.wikipedia.org/wiki/Multiclass_classification,https://en.wikipedia.org/wiki/Support-vector_machine,None,AL-CPL,data_mining,en
Decision tree model,Decision tree learning,https://en.wikipedia.org/wiki/Decision_tree_model,https://en.wikipedia.org/wiki/Decision_tree_learning,None,AL-CPL,data_mining,en
Discretization,Artificial neural network,https://en.wikipedia.org/wiki/Discretization,https://en.wikipedia.org/wiki/Artificial_neural_network,None,AL-CPL,data_mining,en
Data mining,K-means Computer_cluster,https://en.wikipedia.org/wiki/Data_mining,https://en.wikipedia.org/wiki/K-means_Computer_cluster,None,AL-CPL,data_mining,en
Statistical dispersion,Interquartile range,https://en.wikipedia.org/wiki/Statistical_dispersion,https://en.wikipedia.org/wiki/Interquartile_range,A->B,AL-CPL,data_mining,en
Precision and recall,Type I and type II errors,https://en.wikipedia.org/wiki/Precision_and_recall,https://en.wikipedia.org/wiki/Type_I_and_type_II_errors,None,AL-CPL,data_mining,en
Null hypothesis,Type I and type II errors,https://en.wikipedia.org/wiki/Null_hypothesis,https://en.wikipedia.org/wiki/Type_I_and_type_II_errors,A->B,AL-CPL,data_mining,en
Mutation (genetic algorithm),Natural selection,https://en.wikipedia.org/wiki/Mutation_(genetic_algorithm),https://en.wikipedia.org/wiki/Natural_selection,None,AL-CPL,data_mining,en
Decision tree learning,Statistical classification,https://en.wikipedia.org/wiki/Decision_tree_learning,https://en.wikipedia.org/wiki/Statistical_classification,None,AL-CPL,data_mining,en
Association rule learning,Apriori algorithm,https://en.wikipedia.org/wiki/Association_rule_learning,https://en.wikipedia.org/wiki/Apriori_algorithm,A->B,AL-CPL,data_mining,en
Conditional probability distribution,Bayesian network,https://en.wikipedia.org/wiki/Conditional_probability_distribution,https://en.wikipedia.org/wiki/Bayesian_network,A->B,AL-CPL,data_mining,en
Prior probability,Artificial neural network,https://en.wikipedia.org/wiki/Prior_probability,https://en.wikipedia.org/wiki/Artificial_neural_network,None,AL-CPL,data_mining,en
Apriori algorithm,Conditional probability,https://en.wikipedia.org/wiki/Apriori_algorithm,https://en.wikipedia.org/wiki/Conditional_probability,None,AL-CPL,data_mining,en
Conditional probability,Joint probability distribution,https://en.wikipedia.org/wiki/Conditional_probability,https://en.wikipedia.org/wiki/Joint_probability_distribution,None,AL-CPL,data_mining,en
Machine learning,Linear separability,https://en.wikipedia.org/wiki/Machine_learning,https://en.wikipedia.org/wiki/Linear_separability,None,AL-CPL,data_mining,en
Data mining,Data analysis,https://en.wikipedia.org/wiki/Data_mining,https://en.wikipedia.org/wiki/Data_analysis,None,AL-CPL,data_mining,en
Statistical hypothesis testing,Data mining,https://en.wikipedia.org/wiki/Statistical_hypothesis_testing,https://en.wikipedia.org/wiki/Data_mining,A->B,AL-CPL,data_mining,en
Statistical classification,Anomaly detection,https://en.wikipedia.org/wiki/Statistical_classification,https://en.wikipedia.org/wiki/Anomaly_detection,None,AL-CPL,data_mining,en
Type I and type II errors,Standard deviation,https://en.wikipedia.org/wiki/Type_I_and_type_II_errors,https://en.wikipedia.org/wiki/Standard_deviation,None,AL-CPL,data_mining,en
Pruning (decision trees),Decision tree learning,https://en.wikipedia.org/wiki/Decision_tree_pruning,https://en.wikipedia.org/wiki/Decision_tree_learning,None,AL-CPL,data_mining,en
Decision tree,Statistical classification,https://en.wikipedia.org/wiki/Decision_tree,https://en.wikipedia.org/wiki/Statistical_classification,None,AL-CPL,data_mining,en
Support vector machine,Hyperplane separation theorem,https://en.wikipedia.org/wiki/Support-vector_machine,https://en.wikipedia.org/wiki/Hyperplane_separation_theorem,None,AL-CPL,data_mining,en
Naive Bayes classifier,Bayesian network,https://en.wikipedia.org/wiki/Naive_Bayes_classifier,https://en.wikipedia.org/wiki/Bayesian_network,None,AL-CPL,data_mining,en
Standard deviation,OPTICS algorithm,https://en.wikipedia.org/wiki/Standard_deviation,https://en.wikipedia.org/wiki/OPTICS_algorithm,A->B,AL-CPL,data_mining,en
Data mining,Bayes' theorem,https://en.wikipedia.org/wiki/Data_mining,https://en.wikipedia.org/wiki/Bayes%27_theorem,None,AL-CPL,data_mining,en
Data analysis,K-means Computer_cluster,https://en.wikipedia.org/wiki/Data_analysis,https://en.wikipedia.org/wiki/K-means_Computer_cluster,A->B,AL-CPL,data_mining,en
Sample (statistics),Statistical population,https://en.wikipedia.org/wiki/Sample_(statistics),https://en.wikipedia.org/wiki/Statistical_population,None,AL-CPL,data_mining,en
Bootstrap aggregating,Random forest,https://en.wikipedia.org/wiki/Bootstrap_aggregating,https://en.wikipedia.org/wiki/Random_forest,A->B,AL-CPL,data_mining,en
Sampling (statistics),Statistical population,https://en.wikipedia.org/wiki/Sampling_(statistics),https://en.wikipedia.org/wiki/Statistical_population,None,AL-CPL,data_mining,en
Bayesian network,Probability density function,https://en.wikipedia.org/wiki/Bayesian_network,https://en.wikipedia.org/wiki/Probability_density_function,None,AL-CPL,data_mining,en
Arithmetic mean,K-means Computer_cluster,https://en.wikipedia.org/wiki/Arithmetic_mean,https://en.wikipedia.org/wiki/K-means_Computer_cluster,A->B,AL-CPL,data_mining,en
DBSCAN,Cluster analysis,https://en.wikipedia.org/wiki/DBSCAN,https://en.wikipedia.org/wiki/Cluster_analysis,None,AL-CPL,data_mining,en
Arithmetic mean,Central tendency,https://en.wikipedia.org/wiki/Arithmetic_mean,https://en.wikipedia.org/wiki/Central_tendency,A->B,AL-CPL,data_mining,en
Model selection,Stepwise regression,https://en.wikipedia.org/wiki/Model_selection,https://en.wikipedia.org/wiki/Stepwise_regression,None,AL-CPL,data_mining,en
Cluster analysis,Principal component analysis,https://en.wikipedia.org/wiki/Cluster_analysis,https://en.wikipedia.org/wiki/Principal_component_analysis,None,AL-CPL,data_mining,en
Machine learning,Support vector machine,https://en.wikipedia.org/wiki/Machine_learning,https://en.wikipedia.org/wiki/Support-vector_machine,A->B,AL-CPL,data_mining,en
Level of measurement,Median,https://en.wikipedia.org/wiki/Level_of_measurement,https://en.wikipedia.org/wiki/Median,None,AL-CPL,data_mining,en
Null hypothesis,Statistical hypothesis testing,https://en.wikipedia.org/wiki/Null_hypothesis,https://en.wikipedia.org/wiki/Statistical_hypothesis_testing,A->B,AL-CPL,data_mining,en
Hyperplane,Linear separability,https://en.wikipedia.org/wiki/Hyperplane,https://en.wikipedia.org/wiki/Linear_separability,A->B,AL-CPL,data_mining,en
Poisson regression,Likelihood function,https://en.wikipedia.org/wiki/Poisson_regression,https://en.wikipedia.org/wiki/Likelihood_function,None,AL-CPL,data_mining,en
Data mining,Correlation and dependence,https://en.wikipedia.org/wiki/Data_mining,https://en.wikipedia.org/wiki/Correlation,None,AL-CPL,data_mining,en
Expectation每maximization algorithm,Likelihood function,https://en.wikipedia.org/wiki/Expectation%E2%80%93maximization_algorithm,https://en.wikipedia.org/wiki/Likelihood_function,None,AL-CPL,data_mining,en
Statistical classification,Posterior probability,https://en.wikipedia.org/wiki/Statistical_classification,https://en.wikipedia.org/wiki/Posterior_probability,None,AL-CPL,data_mining,en
Genetic algorithm,Natural selection,https://en.wikipedia.org/wiki/Genetic_algorithm,https://en.wikipedia.org/wiki/Natural_selection,None,AL-CPL,data_mining,en
Statistical classification,Receiver operating characteristic,https://en.wikipedia.org/wiki/Statistical_classification,https://en.wikipedia.org/wiki/Receiver_operating_characteristic,A->B,AL-CPL,data_mining,en
Naive Bayes classifier,Correlation and dependence,https://en.wikipedia.org/wiki/Naive_Bayes_classifier,https://en.wikipedia.org/wiki/Correlation,None,AL-CPL,data_mining,en
Precision and recall,Sensitivity and specificity,https://en.wikipedia.org/wiki/Precision_and_recall,https://en.wikipedia.org/wiki/Sensitivity_and_specificity,None,AL-CPL,data_mining,en
Decision tree learning,Pruning (decision trees),https://en.wikipedia.org/wiki/Decision_tree_learning,https://en.wikipedia.org/wiki/Decision_tree_pruning,A->B,AL-CPL,data_mining,en
Naive Bayes classifier,Mixture model,https://en.wikipedia.org/wiki/Naive_Bayes_classifier,https://en.wikipedia.org/wiki/Mixture_model,None,AL-CPL,data_mining,en
Statistical classification,Multiclass classification,https://en.wikipedia.org/wiki/Statistical_classification,https://en.wikipedia.org/wiki/Multiclass_classification,A->B,AL-CPL,data_mining,en
Outlier,DBSCAN,https://en.wikipedia.org/wiki/Outlier,https://en.wikipedia.org/wiki/DBSCAN,None,AL-CPL,data_mining,en
