A,B,linkA,linkB,prerequisites,source,domin,language
bubble sort,asymptotic analysis,https://en.wikipedia.org/wiki/Bubble_sort,https://en.wikipedia.org/wiki/Asymptotic_analysis,None,ACL,W-DSA,en
connected component,asymptotic analysis,https://en.wikipedia.org/wiki/Connected_component,https://en.wikipedia.org/wiki/Asymptotic_analysis,None,ACL,W-DSA,en
merge sort,asymptotic analysis,https://en.wikipedia.org/wiki/Merge_sort,https://en.wikipedia.org/wiki/Asymptotic_analysis,None,ACL,W-DSA,en
selection sort,asymptotic analysis,https://en.wikipedia.org/wiki/Selection_sort,https://en.wikipedia.org/wiki/Asymptotic_analysis,None,ACL,W-DSA,en
sort algorithm,asymptotic analysis,https://en.wikipedia.org/wiki/Sorting_algorithm,https://en.wikipedia.org/wiki/Asymptotic_analysis,None,ACL,W-DSA,en
binary search,binary code,https://en.wikipedia.org/wiki/Binary_search_algorithm,https://en.wikipedia.org/wiki/Binary_code,None,ACL,W-DSA,en
binary search tree,binary code,https://en.wikipedia.org/wiki/Binary_search_tree,https://en.wikipedia.org/wiki/Binary_code,A->B,ACL,W-DSA,en
binary tree,binary code,https://en.wikipedia.org/wiki/Binary_tree,https://en.wikipedia.org/wiki/Binary_code,A->B,ACL,W-DSA,en
Dynamic_programming,binary code,https://en.wikipedia.org/wiki/Dynamic_programming,https://en.wikipedia.org/wiki/Binary_code,None,ACL,W-DSA,en
greedy algorithm,binary code,https://en.wikipedia.org/wiki/Greedy_algorithm,https://en.wikipedia.org/wiki/Binary_code,None,ACL,W-DSA,en
search tree,binary code,https://en.wikipedia.org/wiki/Search_tree,https://en.wikipedia.org/wiki/Binary_code,None,ACL,W-DSA,en
spanning tree,binary code,https://en.wikipedia.org/wiki/Spanning_tree,https://en.wikipedia.org/wiki/Binary_code,None,ACL,W-DSA,en
binary search,binary heap,https://en.wikipedia.org/wiki/Binary_search_algorithm,https://en.wikipedia.org/wiki/Binary_heap,A->B,ACL,W-DSA,en
binary tree,binary heap,https://en.wikipedia.org/wiki/Binary_tree,https://en.wikipedia.org/wiki/Binary_heap,A->B,ACL,W-DSA,en
connected component,binary heap,https://en.wikipedia.org/wiki/Connected_component,https://en.wikipedia.org/wiki/Binary_heap,None,ACL,W-DSA,en
doubly linked list,binary heap,https://en.wikipedia.org/wiki/Doubly_linked_list,https://en.wikipedia.org/wiki/Binary_heap,A->B,ACL,W-DSA,en
greedy algorithm,binary heap,https://en.wikipedia.org/wiki/Greedy_algorithm,https://en.wikipedia.org/wiki/Binary_heap,None,ACL,W-DSA,en
linked list,binary heap,https://en.wikipedia.org/wiki/Linked_list,https://en.wikipedia.org/wiki/Binary_heap,A->B,ACL,W-DSA,en
minimum spanning tree,binary heap,https://en.wikipedia.org/wiki/Minimum_spanning_tree,https://en.wikipedia.org/wiki/Binary_heap,None,ACL,W-DSA,en
priority queue,binary heap,https://en.wikipedia.org/wiki/Priority_queue,https://en.wikipedia.org/wiki/Binary_heap,A->B,ACL,W-DSA,en
selection sort,binary heap,https://en.wikipedia.org/wiki/Selection_sort,https://en.wikipedia.org/wiki/Binary_heap,None,ACL,W-DSA,en
shortest path,binary heap,https://en.wikipedia.org/wiki/Shortest_path_problem,https://en.wikipedia.org/wiki/Binary_heap,None,ACL,W-DSA,en
sort algorithm,binary heap,https://en.wikipedia.org/wiki/Sorting_algorithm,https://en.wikipedia.org/wiki/Binary_heap,None,ACL,W-DSA,en
spanning tree,binary heap,https://en.wikipedia.org/wiki/Spanning_tree,https://en.wikipedia.org/wiki/Binary_heap,None,ACL,W-DSA,en
binary search tree,binary search,https://en.wikipedia.org/wiki/Binary_search_tree,https://en.wikipedia.org/wiki/Binary_search_algorithm,A->B,ACL,W-DSA,en
binary tree,binary search,https://en.wikipedia.org/wiki/Binary_tree,https://en.wikipedia.org/wiki/Binary_search_algorithm,None,ACL,W-DSA,en
doubly linked list,binary search,https://en.wikipedia.org/wiki/Doubly_linked_list,https://en.wikipedia.org/wiki/Binary_search_algorithm,None,ACL,W-DSA,en
Dynamic_programming,binary search,https://en.wikipedia.org/wiki/Dynamic_programming,https://en.wikipedia.org/wiki/Binary_search_algorithm,None,ACL,W-DSA,en
greedy algorithm,binary search,https://en.wikipedia.org/wiki/Greedy_algorithm,https://en.wikipedia.org/wiki/Binary_search_algorithm,None,ACL,W-DSA,en
linear probing,binary search,https://en.wikipedia.org/wiki/Linear_probing,https://en.wikipedia.org/wiki/Binary_search_algorithm,None,ACL,W-DSA,en
linear search,binary search,https://en.wikipedia.org/wiki/Linear_search,https://en.wikipedia.org/wiki/Binary_search_algorithm,None,ACL,W-DSA,en
linked list,binary search,https://en.wikipedia.org/wiki/Linked_list,https://en.wikipedia.org/wiki/Binary_search_algorithm,None,ACL,W-DSA,en
merge sort,binary search,https://en.wikipedia.org/wiki/Merge_sort,https://en.wikipedia.org/wiki/Binary_search_algorithm,None,ACL,W-DSA,en
minimum spanning tree,binary search,https://en.wikipedia.org/wiki/Minimum_spanning_tree,https://en.wikipedia.org/wiki/Binary_search_algorithm,None,ACL,W-DSA,en
nearest neighbor,binary search,https://en.wikipedia.org/wiki/Nearest_neighbor,https://en.wikipedia.org/wiki/Binary_search_algorithm,None,ACL,W-DSA,en
priority queue,binary search,https://en.wikipedia.org/wiki/Priority_queue,https://en.wikipedia.org/wiki/Binary_search_algorithm,None,ACL,W-DSA,en
randomized algorithm,binary search,https://en.wikipedia.org/wiki/Randomized_algorithm,https://en.wikipedia.org/wiki/Binary_search_algorithm,None,ACL,W-DSA,en
search algorithm,binary search,https://en.wikipedia.org/wiki/Search_algorithm,https://en.wikipedia.org/wiki/Binary_search_algorithm,A->B,ACL,W-DSA,en
search problem,binary search,https://en.wikipedia.org/wiki/Search_problem,https://en.wikipedia.org/wiki/Binary_search_algorithm,None,ACL,W-DSA,en
search tree,binary search,https://en.wikipedia.org/wiki/Search_tree,https://en.wikipedia.org/wiki/Binary_search_algorithm,None,ACL,W-DSA,en
select algorithm,binary search,https://en.wikipedia.org/wiki/Selection_algorithm,https://en.wikipedia.org/wiki/Binary_search_algorithm,None,ACL,W-DSA,en
selection sort,binary search,https://en.wikipedia.org/wiki/Selection_sort,https://en.wikipedia.org/wiki/Binary_search_algorithm,None,ACL,W-DSA,en
shortest path,binary search,https://en.wikipedia.org/wiki/Shortest_path_problem,https://en.wikipedia.org/wiki/Binary_search_algorithm,None,ACL,W-DSA,en
sort algorithm,binary search,https://en.wikipedia.org/wiki/Sorting_algorithm,https://en.wikipedia.org/wiki/Binary_search_algorithm,None,ACL,W-DSA,en
spanning tree,binary search,https://en.wikipedia.org/wiki/Spanning_tree,https://en.wikipedia.org/wiki/Binary_search_algorithm,None,ACL,W-DSA,en
sweep line algorithm,binary search,https://en.wikipedia.org/wiki/Sweep_line_algorithm,https://en.wikipedia.org/wiki/Binary_search_algorithm,None,ACL,W-DSA,en
binary tree,binary search tree,https://en.wikipedia.org/wiki/Binary_tree,https://en.wikipedia.org/wiki/Binary_search_tree,A->B,ACL,W-DSA,en
doubly linked list,binary search tree,https://en.wikipedia.org/wiki/Doubly_linked_list,https://en.wikipedia.org/wiki/Binary_search_tree,None,ACL,W-DSA,en
Dynamic_programming,binary search tree,https://en.wikipedia.org/wiki/Dynamic_programming,https://en.wikipedia.org/wiki/Binary_search_tree,None,ACL,W-DSA,en
greedy algorithm,binary search tree,https://en.wikipedia.org/wiki/Greedy_algorithm,https://en.wikipedia.org/wiki/Binary_search_tree,None,ACL,W-DSA,en
linear probing,binary search tree,https://en.wikipedia.org/wiki/Linear_probing,https://en.wikipedia.org/wiki/Binary_search_tree,None,ACL,W-DSA,en
linked list,binary search tree,https://en.wikipedia.org/wiki/Linked_list,https://en.wikipedia.org/wiki/Binary_search_tree,None,ACL,W-DSA,en
merge sort,binary search tree,https://en.wikipedia.org/wiki/Merge_sort,https://en.wikipedia.org/wiki/Binary_search_tree,None,ACL,W-DSA,en
minimum spanning tree,binary search tree,https://en.wikipedia.org/wiki/Minimum_spanning_tree,https://en.wikipedia.org/wiki/Binary_search_tree,None,ACL,W-DSA,en
nearest neighbor,binary search tree,https://en.wikipedia.org/wiki/Nearest_neighbor,https://en.wikipedia.org/wiki/Binary_search_tree,None,ACL,W-DSA,en
priority queue,binary search tree,https://en.wikipedia.org/wiki/Priority_queue,https://en.wikipedia.org/wiki/Binary_search_tree,None,ACL,W-DSA,en
randomized algorithm,binary search tree,https://en.wikipedia.org/wiki/Randomized_algorithm,https://en.wikipedia.org/wiki/Binary_search_tree,None,ACL,W-DSA,en
search problem,binary search tree,https://en.wikipedia.org/wiki/Search_problem,https://en.wikipedia.org/wiki/Binary_search_tree,None,ACL,W-DSA,en
search tree,binary search tree,https://en.wikipedia.org/wiki/Search_tree,https://en.wikipedia.org/wiki/Binary_search_tree,A->B,ACL,W-DSA,en
select algorithm,binary search tree,https://en.wikipedia.org/wiki/Selection_algorithm,https://en.wikipedia.org/wiki/Binary_search_tree,None,ACL,W-DSA,en
selection sort,binary search tree,https://en.wikipedia.org/wiki/Selection_sort,https://en.wikipedia.org/wiki/Binary_search_tree,None,ACL,W-DSA,en
shortest path,binary search tree,https://en.wikipedia.org/wiki/Shortest_path_problem,https://en.wikipedia.org/wiki/Binary_search_tree,None,ACL,W-DSA,en
sort algorithm,binary search tree,https://en.wikipedia.org/wiki/Sorting_algorithm,https://en.wikipedia.org/wiki/Binary_search_tree,None,ACL,W-DSA,en
spanning tree,binary search tree,https://en.wikipedia.org/wiki/Spanning_tree,https://en.wikipedia.org/wiki/Binary_search_tree,None,ACL,W-DSA,en
sweep line algorithm,binary search tree,https://en.wikipedia.org/wiki/Sweep_line_algorithm,https://en.wikipedia.org/wiki/Binary_search_tree,None,ACL,W-DSA,en
directed graph,binary tree,https://en.wikipedia.org/wiki/Directed_graph,https://en.wikipedia.org/wiki/Binary_tree,None,ACL,W-DSA,en
Dynamic_programming,binary tree,https://en.wikipedia.org/wiki/Dynamic_programming,https://en.wikipedia.org/wiki/Binary_tree,None,ACL,W-DSA,en
greedy algorithm,binary tree,https://en.wikipedia.org/wiki/Greedy_algorithm,https://en.wikipedia.org/wiki/Binary_tree,None,ACL,W-DSA,en
knockout tournament,binary tree,https://en.wikipedia.org/wiki/Single-elimination_tournament,https://en.wikipedia.org/wiki/Binary_tree,None,ACL,W-DSA,en
linear search,binary tree,https://en.wikipedia.org/wiki/Linear_search,https://en.wikipedia.org/wiki/Binary_tree,None,ACL,W-DSA,en
linked list,binary tree,https://en.wikipedia.org/wiki/Linked_list,https://en.wikipedia.org/wiki/Binary_tree,None,ACL,W-DSA,en
merge sort,binary tree,https://en.wikipedia.org/wiki/Merge_sort,https://en.wikipedia.org/wiki/Binary_tree,None,ACL,W-DSA,en
minimum spanning tree,binary tree,https://en.wikipedia.org/wiki/Minimum_spanning_tree,https://en.wikipedia.org/wiki/Binary_tree,None,ACL,W-DSA,en
nearest neighbor,binary tree,https://en.wikipedia.org/wiki/Nearest_neighbor,https://en.wikipedia.org/wiki/Binary_tree,None,ACL,W-DSA,en
priority queue,binary tree,https://en.wikipedia.org/wiki/Priority_queue,https://en.wikipedia.org/wiki/Binary_tree,None,ACL,W-DSA,en
search problem,binary tree,https://en.wikipedia.org/wiki/Search_problem,https://en.wikipedia.org/wiki/Binary_tree,None,ACL,W-DSA,en
search tree,binary tree,https://en.wikipedia.org/wiki/Search_tree,https://en.wikipedia.org/wiki/Binary_tree,A->B,ACL,W-DSA,en
selection sort,binary tree,https://en.wikipedia.org/wiki/Selection_sort,https://en.wikipedia.org/wiki/Binary_tree,None,ACL,W-DSA,en
shortest path,binary tree,https://en.wikipedia.org/wiki/Shortest_path_problem,https://en.wikipedia.org/wiki/Binary_tree,None,ACL,W-DSA,en
shortest path problem,binary tree,https://en.wikipedia.org/wiki/Shortest_path_problem,https://en.wikipedia.org/wiki/Binary_tree,None,ACL,W-DSA,en
sort algorithm,binary tree,https://en.wikipedia.org/wiki/Sorting_algorithm,https://en.wikipedia.org/wiki/Binary_tree,None,ACL,W-DSA,en
spanning tree,binary tree,https://en.wikipedia.org/wiki/Spanning_tree,https://en.wikipedia.org/wiki/Binary_tree,None,ACL,W-DSA,en
sweep line algorithm,binary tree,https://en.wikipedia.org/wiki/Sweep_line_algorithm,https://en.wikipedia.org/wiki/Binary_tree,None,ACL,W-DSA,en
directed graph,bipartite graph,https://en.wikipedia.org/wiki/Directed_graph,https://en.wikipedia.org/wiki/Bipartite_graph,A->B,ACL,W-DSA,en
greedy algorithm,bubble sort,https://en.wikipedia.org/wiki/Greedy_algorithm,https://en.wikipedia.org/wiki/Bubble_sort,None,ACL,W-DSA,en
merge sort,bubble sort,https://en.wikipedia.org/wiki/Merge_sort,https://en.wikipedia.org/wiki/Bubble_sort,None,ACL,W-DSA,en
selection sort,bubble sort,https://en.wikipedia.org/wiki/Selection_sort,https://en.wikipedia.org/wiki/Bubble_sort,None,ACL,W-DSA,en
sort algorithm,bubble sort,https://en.wikipedia.org/wiki/Sorting_algorithm,https://en.wikipedia.org/wiki/Bubble_sort,A->B,ACL,W-DSA,en
deterministic algorithm,bucket sort,https://en.wikipedia.org/wiki/Deterministic_algorithm,https://en.wikipedia.org/wiki/Bucket_sort,A->B,ACL,W-DSA,en
randomized algorithm,bucket sort,https://en.wikipedia.org/wiki/Randomized_algorithm,https://en.wikipedia.org/wiki/Bucket_sort,None,ACL,W-DSA,en
sort algorithm,bucket sort,https://en.wikipedia.org/wiki/Sorting_algorithm,https://en.wikipedia.org/wiki/Bucket_sort,A->B,ACL,W-DSA,en
deterministic algorithm,connected component,https://en.wikipedia.org/wiki/Deterministic_algorithm,https://en.wikipedia.org/wiki/Connected_component,None,ACL,W-DSA,en
directed acyclic graph,connected component,https://en.wikipedia.org/wiki/Directed_acyclic_graph,https://en.wikipedia.org/wiki/Connected_component,A->B,ACL,W-DSA,en
directed graph,connected component,https://en.wikipedia.org/wiki/Directed_graph,https://en.wikipedia.org/wiki/Connected_component,A->B,ACL,W-DSA,en
doubly linked list,connected component,https://en.wikipedia.org/wiki/Doubly_linked_list,https://en.wikipedia.org/wiki/Connected_component,None,ACL,W-DSA,en
greedy algorithm,connected component,https://en.wikipedia.org/wiki/Greedy_algorithm,https://en.wikipedia.org/wiki/Connected_component,None,ACL,W-DSA,en
linked list,connected component,https://en.wikipedia.org/wiki/Linked_list,https://en.wikipedia.org/wiki/Connected_component,None,ACL,W-DSA,en
merge sort,connected component,https://en.wikipedia.org/wiki/Merge_sort,https://en.wikipedia.org/wiki/Connected_component,None,ACL,W-DSA,en
minimum spanning tree,connected component,https://en.wikipedia.org/wiki/Minimum_spanning_tree,https://en.wikipedia.org/wiki/Connected_component,None,ACL,W-DSA,en
priority queue,connected component,https://en.wikipedia.org/wiki/Priority_queue,https://en.wikipedia.org/wiki/Connected_component,None,ACL,W-DSA,en
randomized algorithm,connected component,https://en.wikipedia.org/wiki/Randomized_algorithm,https://en.wikipedia.org/wiki/Connected_component,None,ACL,W-DSA,en
search algorithm,connected component,https://en.wikipedia.org/wiki/Search_algorithm,https://en.wikipedia.org/wiki/Connected_component,None,ACL,W-DSA,en
search tree,connected component,https://en.wikipedia.org/wiki/Search_tree,https://en.wikipedia.org/wiki/Connected_component,None,ACL,W-DSA,en
shortest path,connected component,https://en.wikipedia.org/wiki/Shortest_path_problem,https://en.wikipedia.org/wiki/Connected_component,None,ACL,W-DSA,en
shortest path problem,connected component,https://en.wikipedia.org/wiki/Shortest_path_problem,https://en.wikipedia.org/wiki/Connected_component,None,ACL,W-DSA,en
sort algorithm,connected component,https://en.wikipedia.org/wiki/Sorting_algorithm,https://en.wikipedia.org/wiki/Connected_component,None,ACL,W-DSA,en
spanning tree,connected component,https://en.wikipedia.org/wiki/Spanning_tree,https://en.wikipedia.org/wiki/Connected_component,None,ACL,W-DSA,en
priority queue,contraction hierarchies,https://en.wikipedia.org/wiki/Priority_queue,https://en.wikipedia.org/wiki/Contraction_hierarchies,None,ACL,W-DSA,en
shortest path,contraction hierarchies,https://en.wikipedia.org/wiki/Shortest_path_problem,https://en.wikipedia.org/wiki/Contraction_hierarchies,A->B,ACL,W-DSA,en
linear probing,cryptographic hash,https://en.wikipedia.org/wiki/Linear_probing,https://en.wikipedia.org/wiki/Cryptographic_hash_function,None,ACL,W-DSA,en
linked list,cryptographic hash,https://en.wikipedia.org/wiki/Linked_list,https://en.wikipedia.org/wiki/Cryptographic_hash_function,None,ACL,W-DSA,en
merge sort,cryptographic hash,https://en.wikipedia.org/wiki/Merge_sort,https://en.wikipedia.org/wiki/Cryptographic_hash_function,None,ACL,W-DSA,en
sort algorithm,cryptographic hash,https://en.wikipedia.org/wiki/Sorting_algorithm,https://en.wikipedia.org/wiki/Cryptographic_hash_function,None,ACL,W-DSA,en
directed graph,de bruijn graph,https://en.wikipedia.org/wiki/Directed_graph,https://en.wikipedia.org/wiki/De_Bruijn_graph,A->B,ACL,W-DSA,en
eulerian path,de bruijn graph,https://en.wikipedia.org/wiki/Eulerian_path,https://en.wikipedia.org/wiki/De_Bruijn_graph,A->B,ACL,W-DSA,en
hamiltonian cycle,de bruijn graph,https://en.wikipedia.org/wiki/Hamiltonian_path,https://en.wikipedia.org/wiki/De_Bruijn_graph,A->B,ACL,W-DSA,en
knockout tournament,deterministic algorithm,https://en.wikipedia.org/wiki/Single-elimination_tournament,https://en.wikipedia.org/wiki/Deterministic_algorithm,None,ACL,W-DSA,en
merge sort,deterministic algorithm,https://en.wikipedia.org/wiki/Merge_sort,https://en.wikipedia.org/wiki/Deterministic_algorithm,A->B,ACL,W-DSA,en
minimum spanning tree,deterministic algorithm,https://en.wikipedia.org/wiki/Minimum_spanning_tree,https://en.wikipedia.org/wiki/Deterministic_algorithm,None,ACL,W-DSA,en
random variable,deterministic algorithm,https://en.wikipedia.org/wiki/Random_variable,https://en.wikipedia.org/wiki/Deterministic_algorithm,None,ACL,W-DSA,en
randomized algorithm,deterministic algorithm,https://en.wikipedia.org/wiki/Randomized_algorithm,https://en.wikipedia.org/wiki/Deterministic_algorithm,None,ACL,W-DSA,en
select algorithm,deterministic algorithm,https://en.wikipedia.org/wiki/Selection_algorithm,https://en.wikipedia.org/wiki/Deterministic_algorithm,None,ACL,W-DSA,en
sort algorithm,deterministic algorithm,https://en.wikipedia.org/wiki/Sorting_algorithm,https://en.wikipedia.org/wiki/Deterministic_algorithm,A->B,ACL,W-DSA,en
spanning tree,deterministic algorithm,https://en.wikipedia.org/wiki/Spanning_tree,https://en.wikipedia.org/wiki/Deterministic_algorithm,None,ACL,W-DSA,en
directed graph,directed acyclic graph,https://en.wikipedia.org/wiki/Directed_graph,https://en.wikipedia.org/wiki/Directed_acyclic_graph,A->B,ACL,W-DSA,en
search algorithm,directed acyclic graph,https://en.wikipedia.org/wiki/Search_algorithm,https://en.wikipedia.org/wiki/Directed_acyclic_graph,None,ACL,W-DSA,en
search problem,directed acyclic graph,https://en.wikipedia.org/wiki/Search_problem,https://en.wikipedia.org/wiki/Directed_acyclic_graph,None,ACL,W-DSA,en
shortest path,directed acyclic graph,https://en.wikipedia.org/wiki/Shortest_path_problem,https://en.wikipedia.org/wiki/Directed_acyclic_graph,None,ACL,W-DSA,en
doubly linked list,directed graph,https://en.wikipedia.org/wiki/Doubly_linked_list,https://en.wikipedia.org/wiki/Directed_graph,None,ACL,W-DSA,en
Dynamic_programming,directed graph,https://en.wikipedia.org/wiki/Dynamic_programming,https://en.wikipedia.org/wiki/Directed_graph,None,ACL,W-DSA,en
eulerian path,directed graph,https://en.wikipedia.org/wiki/Eulerian_path,https://en.wikipedia.org/wiki/Directed_graph,A->B,ACL,W-DSA,en
greedy algorithm,directed graph,https://en.wikipedia.org/wiki/Greedy_algorithm,https://en.wikipedia.org/wiki/Directed_graph,None,ACL,W-DSA,en
hamiltonian cycle,directed graph,https://en.wikipedia.org/wiki/Hamiltonian_path,https://en.wikipedia.org/wiki/Directed_graph,A->B,ACL,W-DSA,en
knockout tournament,directed graph,https://en.wikipedia.org/wiki/Single-elimination_tournament,https://en.wikipedia.org/wiki/Directed_graph,None,ACL,W-DSA,en
linear search,directed graph,https://en.wikipedia.org/wiki/Linear_search,https://en.wikipedia.org/wiki/Directed_graph,None,ACL,W-DSA,en
linked list,directed graph,https://en.wikipedia.org/wiki/Linked_list,https://en.wikipedia.org/wiki/Directed_graph,None,ACL,W-DSA,en
minimum spanning tree,directed graph,https://en.wikipedia.org/wiki/Minimum_spanning_tree,https://en.wikipedia.org/wiki/Directed_graph,None,ACL,W-DSA,en
random variable,directed graph,https://en.wikipedia.org/wiki/Random_variable,https://en.wikipedia.org/wiki/Directed_graph,None,ACL,W-DSA,en
randomized algorithm,directed graph,https://en.wikipedia.org/wiki/Randomized_algorithm,https://en.wikipedia.org/wiki/Directed_graph,None,ACL,W-DSA,en
search algorithm,directed graph,https://en.wikipedia.org/wiki/Search_algorithm,https://en.wikipedia.org/wiki/Directed_graph,None,ACL,W-DSA,en
search problem,directed graph,https://en.wikipedia.org/wiki/Search_problem,https://en.wikipedia.org/wiki/Directed_graph,None,ACL,W-DSA,en
search tree,directed graph,https://en.wikipedia.org/wiki/Search_tree,https://en.wikipedia.org/wiki/Directed_graph,None,ACL,W-DSA,en
shortest path,directed graph,https://en.wikipedia.org/wiki/Shortest_path_problem,https://en.wikipedia.org/wiki/Directed_graph,None,ACL,W-DSA,en
shortest path problem,directed graph,https://en.wikipedia.org/wiki/Shortest_path_problem,https://en.wikipedia.org/wiki/Directed_graph,None,ACL,W-DSA,en
spanning tree,directed graph,https://en.wikipedia.org/wiki/Spanning_tree,https://en.wikipedia.org/wiki/Directed_graph,None,ACL,W-DSA,en
triangle inequality,directed graph,https://en.wikipedia.org/wiki/Triangle_inequality,https://en.wikipedia.org/wiki/Directed_graph,None,ACL,W-DSA,en
linked list,doubly linked list,https://en.wikipedia.org/wiki/Linked_list,https://en.wikipedia.org/wiki/Doubly_linked_list,A->B,ACL,W-DSA,en
nearest neighbor,doubly linked list,https://en.wikipedia.org/wiki/Nearest_neighbor,https://en.wikipedia.org/wiki/Doubly_linked_list,None,ACL,W-DSA,en
priority queue,doubly linked list,https://en.wikipedia.org/wiki/Priority_queue,https://en.wikipedia.org/wiki/Doubly_linked_list,None,ACL,W-DSA,en
search algorithm,doubly linked list,https://en.wikipedia.org/wiki/Search_algorithm,https://en.wikipedia.org/wiki/Doubly_linked_list,None,ACL,W-DSA,en
search problem,doubly linked list,https://en.wikipedia.org/wiki/Search_problem,https://en.wikipedia.org/wiki/Doubly_linked_list,None,ACL,W-DSA,en
search tree,doubly linked list,https://en.wikipedia.org/wiki/Search_tree,https://en.wikipedia.org/wiki/Doubly_linked_list,None,ACL,W-DSA,en
shortest path,doubly linked list,https://en.wikipedia.org/wiki/Shortest_path_problem,https://en.wikipedia.org/wiki/Doubly_linked_list,None,ACL,W-DSA,en
greatest common divisor,Dynamic_programming,https://en.wikipedia.org/wiki/Greatest_common_divisor,https://en.wikipedia.org/wiki/Dynamic_programming,None,ACL,W-DSA,en
greedy algorithm,Dynamic_programming,https://en.wikipedia.org/wiki/Greedy_algorithm,https://en.wikipedia.org/wiki/Dynamic_programming,None,ACL,W-DSA,en
linear program,Dynamic_programming,https://en.wikipedia.org/wiki/Linear_programming,https://en.wikipedia.org/wiki/Dynamic_programming,None,ACL,W-DSA,en
merge sort,Dynamic_programming,https://en.wikipedia.org/wiki/Merge_sort,https://en.wikipedia.org/wiki/Dynamic_programming,None,ACL,W-DSA,en
minimum spanning tree,Dynamic_programming,https://en.wikipedia.org/wiki/Minimum_spanning_tree,https://en.wikipedia.org/wiki/Dynamic_programming,None,ACL,W-DSA,en
nearest neighbor,Dynamic_programming,https://en.wikipedia.org/wiki/Nearest_neighbor,https://en.wikipedia.org/wiki/Dynamic_programming,None,ACL,W-DSA,en
randomized algorithm,Dynamic_programming,https://en.wikipedia.org/wiki/Randomized_algorithm,https://en.wikipedia.org/wiki/Dynamic_programming,None,ACL,W-DSA,en
