视频A顺序,视频B顺序,投票结果,视频A标题,视频B标题,视频A网站,视频B网站
6,12,0,union find applications,memory,https://www.coursera.org/learn/algorithms-part1/lecture/OLXM8/union-find-applications,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory
6,16,0,union find applications,generics,https://www.coursera.org/learn/algorithms-part1/lecture/OLXM8/union-find-applications,https://www.coursera.org/learn/algorithms-part1/lecture/0URQC/generics
6,21,0,union find applications,insertion sort,https://www.coursera.org/learn/algorithms-part1/lecture/OLXM8/union-find-applications,https://www.coursera.org/learn/algorithms-part1/lecture/1hYlN/insertion-sort
6,23,0,union find applications,shuffling,https://www.coursera.org/learn/algorithms-part1/lecture/OLXM8/union-find-applications,https://www.coursera.org/learn/algorithms-part1/lecture/12vcF/shuffling
6,29,0,union find applications,stability,https://www.coursera.org/learn/algorithms-part1/lecture/OLXM8/union-find-applications,https://www.coursera.org/learn/algorithms-part1/lecture/pvvLZ/stability
6,40,0,union find applications,ordered operations,https://www.coursera.org/learn/algorithms-part1/lecture/OLXM8/union-find-applications,https://www.coursera.org/learn/algorithms-part1/lecture/VDp3O/ordered-operations
6,41,0,union find applications,binary search trees,https://www.coursera.org/learn/algorithms-part1/lecture/OLXM8/union-find-applications,https://www.coursera.org/learn/algorithms-part1/lecture/7An9B/binary-search-trees
6,52,0,union find applications,hash tables,https://www.coursera.org/learn/algorithms-part1/lecture/OLXM8/union-find-applications,https://www.coursera.org/learn/algorithms-part1/lecture/CMLqa/hash-tables
6,56,0,union find applications,symbol table applications sets optional,https://www.coursera.org/learn/algorithms-part1/lecture/OLXM8/union-find-applications,https://www.coursera.org/learn/algorithms-part1/lecture/ewcSx/symbol-table-applications-sets-optional
7,14,1,analysis of algorithms introduction,resizing arrays,https://www.coursera.org/learn/algorithms-part1/lecture/xaxyP/analysis-of-algorithms-introduction,https://www.coursera.org/learn/algorithms-part1/lecture/WTFO7/resizing-arrays
7,16,0,analysis of algorithms introduction,generics,https://www.coursera.org/learn/algorithms-part1/lecture/xaxyP/analysis-of-algorithms-introduction,https://www.coursera.org/learn/algorithms-part1/lecture/0URQC/generics
7,17,0,analysis of algorithms introduction,iterators,https://www.coursera.org/learn/algorithms-part1/lecture/xaxyP/analysis-of-algorithms-introduction,https://www.coursera.org/learn/algorithms-part1/lecture/zGZE0/iterators
7,21,1,analysis of algorithms introduction,insertion sort,https://www.coursera.org/learn/algorithms-part1/lecture/xaxyP/analysis-of-algorithms-introduction,https://www.coursera.org/learn/algorithms-part1/lecture/1hYlN/insertion-sort
7,23,1,analysis of algorithms introduction,shuffling,https://www.coursera.org/learn/algorithms-part1/lecture/xaxyP/analysis-of-algorithms-introduction,https://www.coursera.org/learn/algorithms-part1/lecture/12vcF/shuffling
7,29,0,analysis of algorithms introduction,stability,https://www.coursera.org/learn/algorithms-part1/lecture/xaxyP/analysis-of-algorithms-introduction,https://www.coursera.org/learn/algorithms-part1/lecture/pvvLZ/stability
7,40,1,analysis of algorithms introduction,ordered operations,https://www.coursera.org/learn/algorithms-part1/lecture/xaxyP/analysis-of-algorithms-introduction,https://www.coursera.org/learn/algorithms-part1/lecture/VDp3O/ordered-operations
7,41,1,analysis of algorithms introduction,binary search trees,https://www.coursera.org/learn/algorithms-part1/lecture/xaxyP/analysis-of-algorithms-introduction,https://www.coursera.org/learn/algorithms-part1/lecture/7An9B/binary-search-trees
7,43,0,analysis of algorithms introduction,deletion in bsts,https://www.coursera.org/learn/algorithms-part1/lecture/xaxyP/analysis-of-algorithms-introduction,https://www.coursera.org/learn/algorithms-part1/lecture/PWZAr/deletion-in-bsts
7,46,0,analysis of algorithms introduction,b trees optional,https://www.coursera.org/learn/algorithms-part1/lecture/xaxyP/analysis-of-algorithms-introduction,https://www.coursera.org/learn/algorithms-part1/lecture/HIlHd/b-trees-optional
7,52,1,analysis of algorithms introduction,hash tables,https://www.coursera.org/learn/algorithms-part1/lecture/xaxyP/analysis-of-algorithms-introduction,https://www.coursera.org/learn/algorithms-part1/lecture/CMLqa/hash-tables
7,56,0,analysis of algorithms introduction,symbol table applications sets optional,https://www.coursera.org/learn/algorithms-part1/lecture/xaxyP/analysis-of-algorithms-introduction,https://www.coursera.org/learn/algorithms-part1/lecture/ewcSx/symbol-table-applications-sets-optional
8,12,1,observations,memory,https://www.coursera.org/learn/algorithms-part1/lecture/jmkCT/observations,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory
8,14,0,observations,resizing arrays,https://www.coursera.org/learn/algorithms-part1/lecture/jmkCT/observations,https://www.coursera.org/learn/algorithms-part1/lecture/WTFO7/resizing-arrays
8,16,0,observations,generics,https://www.coursera.org/learn/algorithms-part1/lecture/jmkCT/observations,https://www.coursera.org/learn/algorithms-part1/lecture/0URQC/generics
8,17,0,observations,iterators,https://www.coursera.org/learn/algorithms-part1/lecture/jmkCT/observations,https://www.coursera.org/learn/algorithms-part1/lecture/zGZE0/iterators
8,21,1,observations,insertion sort,https://www.coursera.org/learn/algorithms-part1/lecture/jmkCT/observations,https://www.coursera.org/learn/algorithms-part1/lecture/1hYlN/insertion-sort
8,23,0,observations,shuffling,https://www.coursera.org/learn/algorithms-part1/lecture/jmkCT/observations,https://www.coursera.org/learn/algorithms-part1/lecture/12vcF/shuffling
8,29,0,observations,stability,https://www.coursera.org/learn/algorithms-part1/lecture/jmkCT/observations,https://www.coursera.org/learn/algorithms-part1/lecture/pvvLZ/stability
8,40,0,observations,ordered operations,https://www.coursera.org/learn/algorithms-part1/lecture/jmkCT/observations,https://www.coursera.org/learn/algorithms-part1/lecture/VDp3O/ordered-operations
8,41,1,observations,binary search trees,https://www.coursera.org/learn/algorithms-part1/lecture/jmkCT/observations,https://www.coursera.org/learn/algorithms-part1/lecture/7An9B/binary-search-trees
8,43,0,observations,deletion in bsts,https://www.coursera.org/learn/algorithms-part1/lecture/jmkCT/observations,https://www.coursera.org/learn/algorithms-part1/lecture/PWZAr/deletion-in-bsts
8,46,0,observations,b trees optional,https://www.coursera.org/learn/algorithms-part1/lecture/jmkCT/observations,https://www.coursera.org/learn/algorithms-part1/lecture/HIlHd/b-trees-optional
8,52,1,observations,hash tables,https://www.coursera.org/learn/algorithms-part1/lecture/jmkCT/observations,https://www.coursera.org/learn/algorithms-part1/lecture/CMLqa/hash-tables
9,14,1,mathematical models,resizing arrays,https://www.coursera.org/learn/algorithms-part1/lecture/nrqSL/mathematical-models,https://www.coursera.org/learn/algorithms-part1/lecture/WTFO7/resizing-arrays
9,16,0,mathematical models,generics,https://www.coursera.org/learn/algorithms-part1/lecture/nrqSL/mathematical-models,https://www.coursera.org/learn/algorithms-part1/lecture/0URQC/generics
9,17,0,mathematical models,iterators,https://www.coursera.org/learn/algorithms-part1/lecture/nrqSL/mathematical-models,https://www.coursera.org/learn/algorithms-part1/lecture/zGZE0/iterators
9,21,1,mathematical models,insertion sort,https://www.coursera.org/learn/algorithms-part1/lecture/nrqSL/mathematical-models,https://www.coursera.org/learn/algorithms-part1/lecture/1hYlN/insertion-sort
9,29,0,mathematical models,stability,https://www.coursera.org/learn/algorithms-part1/lecture/nrqSL/mathematical-models,https://www.coursera.org/learn/algorithms-part1/lecture/pvvLZ/stability
9,40,0,mathematical models,ordered operations,https://www.coursera.org/learn/algorithms-part1/lecture/nrqSL/mathematical-models,https://www.coursera.org/learn/algorithms-part1/lecture/VDp3O/ordered-operations
9,41,1,mathematical models,binary search trees,https://www.coursera.org/learn/algorithms-part1/lecture/nrqSL/mathematical-models,https://www.coursera.org/learn/algorithms-part1/lecture/7An9B/binary-search-trees
9,43,0,mathematical models,deletion in bsts,https://www.coursera.org/learn/algorithms-part1/lecture/nrqSL/mathematical-models,https://www.coursera.org/learn/algorithms-part1/lecture/PWZAr/deletion-in-bsts
9,46,0,mathematical models,b trees optional,https://www.coursera.org/learn/algorithms-part1/lecture/nrqSL/mathematical-models,https://www.coursera.org/learn/algorithms-part1/lecture/HIlHd/b-trees-optional
10,12,1,order of growth classifications,memory,https://www.coursera.org/learn/algorithms-part1/lecture/Xk03a/order-of-growth-classifications,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory
10,14,1,order of growth classifications,resizing arrays,https://www.coursera.org/learn/algorithms-part1/lecture/Xk03a/order-of-growth-classifications,https://www.coursera.org/learn/algorithms-part1/lecture/WTFO7/resizing-arrays
10,16,0,order of growth classifications,generics,https://www.coursera.org/learn/algorithms-part1/lecture/Xk03a/order-of-growth-classifications,https://www.coursera.org/learn/algorithms-part1/lecture/0URQC/generics
10,17,0,order of growth classifications,iterators,https://www.coursera.org/learn/algorithms-part1/lecture/Xk03a/order-of-growth-classifications,https://www.coursera.org/learn/algorithms-part1/lecture/zGZE0/iterators
10,21,1,order of growth classifications,insertion sort,https://www.coursera.org/learn/algorithms-part1/lecture/Xk03a/order-of-growth-classifications,https://www.coursera.org/learn/algorithms-part1/lecture/1hYlN/insertion-sort
10,23,0,order of growth classifications,shuffling,https://www.coursera.org/learn/algorithms-part1/lecture/Xk03a/order-of-growth-classifications,https://www.coursera.org/learn/algorithms-part1/lecture/12vcF/shuffling
10,29,0,order of growth classifications,stability,https://www.coursera.org/learn/algorithms-part1/lecture/Xk03a/order-of-growth-classifications,https://www.coursera.org/learn/algorithms-part1/lecture/pvvLZ/stability
10,40,1,order of growth classifications,ordered operations,https://www.coursera.org/learn/algorithms-part1/lecture/Xk03a/order-of-growth-classifications,https://www.coursera.org/learn/algorithms-part1/lecture/VDp3O/ordered-operations
10,41,1,order of growth classifications,binary search trees,https://www.coursera.org/learn/algorithms-part1/lecture/Xk03a/order-of-growth-classifications,https://www.coursera.org/learn/algorithms-part1/lecture/7An9B/binary-search-trees
10,43,1,order of growth classifications,deletion in bsts,https://www.coursera.org/learn/algorithms-part1/lecture/Xk03a/order-of-growth-classifications,https://www.coursera.org/learn/algorithms-part1/lecture/PWZAr/deletion-in-bsts
10,46,0,order of growth classifications,b trees optional,https://www.coursera.org/learn/algorithms-part1/lecture/Xk03a/order-of-growth-classifications,https://www.coursera.org/learn/algorithms-part1/lecture/HIlHd/b-trees-optional
10,52,1,order of growth classifications,hash tables,https://www.coursera.org/learn/algorithms-part1/lecture/Xk03a/order-of-growth-classifications,https://www.coursera.org/learn/algorithms-part1/lecture/CMLqa/hash-tables
11,12,1,theory of algorithms,memory,https://www.coursera.org/learn/algorithms-part1/lecture/dfxCQ/theory-of-algorithms,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory
11,14,0,theory of algorithms,resizing arrays,https://www.coursera.org/learn/algorithms-part1/lecture/dfxCQ/theory-of-algorithms,https://www.coursera.org/learn/algorithms-part1/lecture/WTFO7/resizing-arrays
11,16,0,theory of algorithms,generics,https://www.coursera.org/learn/algorithms-part1/lecture/dfxCQ/theory-of-algorithms,https://www.coursera.org/learn/algorithms-part1/lecture/0URQC/generics
11,17,0,theory of algorithms,iterators,https://www.coursera.org/learn/algorithms-part1/lecture/dfxCQ/theory-of-algorithms,https://www.coursera.org/learn/algorithms-part1/lecture/zGZE0/iterators
11,21,1,theory of algorithms,insertion sort,https://www.coursera.org/learn/algorithms-part1/lecture/dfxCQ/theory-of-algorithms,https://www.coursera.org/learn/algorithms-part1/lecture/1hYlN/insertion-sort
11,23,0,theory of algorithms,shuffling,https://www.coursera.org/learn/algorithms-part1/lecture/dfxCQ/theory-of-algorithms,https://www.coursera.org/learn/algorithms-part1/lecture/12vcF/shuffling
11,29,0,theory of algorithms,stability,https://www.coursera.org/learn/algorithms-part1/lecture/dfxCQ/theory-of-algorithms,https://www.coursera.org/learn/algorithms-part1/lecture/pvvLZ/stability
11,41,1,theory of algorithms,binary search trees,https://www.coursera.org/learn/algorithms-part1/lecture/dfxCQ/theory-of-algorithms,https://www.coursera.org/learn/algorithms-part1/lecture/7An9B/binary-search-trees
11,43,1,theory of algorithms,deletion in bsts,https://www.coursera.org/learn/algorithms-part1/lecture/dfxCQ/theory-of-algorithms,https://www.coursera.org/learn/algorithms-part1/lecture/PWZAr/deletion-in-bsts
11,46,0,theory of algorithms,b trees optional,https://www.coursera.org/learn/algorithms-part1/lecture/dfxCQ/theory-of-algorithms,https://www.coursera.org/learn/algorithms-part1/lecture/HIlHd/b-trees-optional
11,52,1,theory of algorithms,hash tables,https://www.coursera.org/learn/algorithms-part1/lecture/dfxCQ/theory-of-algorithms,https://www.coursera.org/learn/algorithms-part1/lecture/CMLqa/hash-tables
11,56,0,theory of algorithms,symbol table applications sets optional,https://www.coursera.org/learn/algorithms-part1/lecture/dfxCQ/theory-of-algorithms,https://www.coursera.org/learn/algorithms-part1/lecture/ewcSx/symbol-table-applications-sets-optional
12,14,1,memory,resizing arrays,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory,https://www.coursera.org/learn/algorithms-part1/lecture/WTFO7/resizing-arrays
12,18,1,memory,stack and queue applications optional,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory,https://www.coursera.org/learn/algorithms-part1/lecture/2Mbvz/stack-and-queue-applications-optional
12,20,1,memory,selection sort,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory,https://www.coursera.org/learn/algorithms-part1/lecture/VE0sv/selection-sort
12,21,1,memory,insertion sort,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory,https://www.coursera.org/learn/algorithms-part1/lecture/1hYlN/insertion-sort
12,24,abandon,memory,convex hull,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory,https://www.coursera.org/learn/algorithms-part1/lecture/KHJ1t/convex-hull
12,27,1,memory,sorting complexity,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory,https://www.coursera.org/learn/algorithms-part1/lecture/xAltF/sorting-complexity
12,29,0,memory,stability,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory,https://www.coursera.org/learn/algorithms-part1/lecture/pvvLZ/stability
12,31,0,memory,selection,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory,https://www.coursera.org/learn/algorithms-part1/lecture/UQxFT/selection
12,32,0,memory,duplicate keys,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory,https://www.coursera.org/learn/algorithms-part1/lecture/XvjPd/duplicate-keys
12,34,0,memory,apis and elementary implementations,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory,https://www.coursera.org/learn/algorithms-part1/lecture/A3kA3/apis-and-elementary-implementations
12,35,1,memory,binary heaps,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory,https://www.coursera.org/learn/algorithms-part1/lecture/Uzwy6/binary-heaps
12,36,1,memory,heapsort,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory,https://www.coursera.org/learn/algorithms-part1/lecture/ZjoSM/heapsort
12,37,0,memory,event driven simulation optional,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory,https://www.coursera.org/learn/algorithms-part1/lecture/QVhGs/event-driven-simulation-optional
12,39,0,memory,elementary implementations,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory,https://www.coursera.org/learn/algorithms-part1/lecture/zkDUT/elementary-implementations
12,40,0,memory,ordered operations,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory,https://www.coursera.org/learn/algorithms-part1/lecture/VDp3O/ordered-operations
12,42,0,memory,ordered operations in bsts,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory,https://www.coursera.org/learn/algorithms-part1/lecture/aJdPT/ordered-operations-in-bsts
12,43,0,memory,deletion in bsts,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory,https://www.coursera.org/learn/algorithms-part1/lecture/PWZAr/deletion-in-bsts
12,44,1,memory,search trees,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory,https://www.coursera.org/learn/algorithms-part1/lecture/wIUNW/2-3-search-trees
12,46,1,memory,b trees optional,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory,https://www.coursera.org/learn/algorithms-part1/lecture/HIlHd/b-trees-optional
12,48,1,memory,line segment intersection,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory,https://www.coursera.org/learn/algorithms-part1/lecture/HeK99/line-segment-intersection
12,49,1,memory,kd trees,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory,https://www.coursera.org/learn/algorithms-part1/lecture/Yionu/kd-trees
12,51,0,memory,rectangle intersection,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory,https://www.coursera.org/learn/algorithms-part1/lecture/mNiwq/rectangle-intersection
12,56,0,memory,symbol table applications sets optional,https://www.coursera.org/learn/algorithms-part1/lecture/OMj6h/memory,https://www.coursera.org/learn/algorithms-part1/lecture/ewcSx/symbol-table-applications-sets-optional
13,21,1,stacks,insertion sort,https://www.coursera.org/learn/algorithms-part1/lecture/jSxyD/stacks,https://www.coursera.org/learn/algorithms-part1/lecture/1hYlN/insertion-sort
13,23,1,stacks,shuffling,https://www.coursera.org/learn/algorithms-part1/lecture/jSxyD/stacks,https://www.coursera.org/learn/algorithms-part1/lecture/12vcF/shuffling
13,29,0,stacks,stability,https://www.coursera.org/learn/algorithms-part1/lecture/jSxyD/stacks,https://www.coursera.org/learn/algorithms-part1/lecture/pvvLZ/stability
13,40,0,stacks,ordered operations,https://www.coursera.org/learn/algorithms-part1/lecture/jSxyD/stacks,https://www.coursera.org/learn/algorithms-part1/lecture/VDp3O/ordered-operations
13,41,1,stacks,binary search trees,https://www.coursera.org/learn/algorithms-part1/lecture/jSxyD/stacks,https://www.coursera.org/learn/algorithms-part1/lecture/7An9B/binary-search-trees
13,52,1,stacks,hash tables,https://www.coursera.org/learn/algorithms-part1/lecture/jSxyD/stacks,https://www.coursera.org/learn/algorithms-part1/lecture/CMLqa/hash-tables
13,56,0,stacks,symbol table applications sets optional,https://www.coursera.org/learn/algorithms-part1/lecture/jSxyD/stacks,https://www.coursera.org/learn/algorithms-part1/lecture/ewcSx/symbol-table-applications-sets-optional
14,16,0,resizing arrays,generics,https://www.coursera.org/learn/algorithms-part1/lecture/WTFO7/resizing-arrays,https://www.coursera.org/learn/algorithms-part1/lecture/0URQC/generics
14,19,0,resizing arrays,sorting introduction,https://www.coursera.org/learn/algorithms-part1/lecture/WTFO7/resizing-arrays,https://www.coursera.org/learn/algorithms-part1/lecture/JHpgy/sorting-introduction
14,20,0,resizing arrays,selection sort,https://www.coursera.org/learn/algorithms-part1/lecture/WTFO7/resizing-arrays,https://www.coursera.org/learn/algorithms-part1/lecture/VE0sv/selection-sort
14,21,0,resizing arrays,insertion sort,https://www.coursera.org/learn/algorithms-part1/lecture/WTFO7/resizing-arrays,https://www.coursera.org/learn/algorithms-part1/lecture/1hYlN/insertion-sort
14,22,0,resizing arrays,shellsort,https://www.coursera.org/learn/algorithms-part1/lecture/WTFO7/resizing-arrays,https://www.coursera.org/learn/algorithms-part1/lecture/zPYhF/shellsort
14,23,0,resizing arrays,shuffling,https://www.coursera.org/learn/algorithms-part1/lecture/WTFO7/resizing-arrays,https://www.coursera.org/learn/algorithms-part1/lecture/12vcF/shuffling
14,24,0,resizing arrays,convex hull,https://www.coursera.org/learn/algorithms-part1/lecture/WTFO7/resizing-arrays,https://www.coursera.org/learn/algorithms-part1/lecture/KHJ1t/convex-hull
14,25,0,resizing arrays,mergesort,https://www.coursera.org/learn/algorithms-part1/lecture/WTFO7/resizing-arrays,https://www.coursera.org/learn/algorithms-part1/lecture/ARWDq/mergesort
14,27,1,resizing arrays,sorting complexity,https://www.coursera.org/learn/algorithms-part1/lecture/WTFO7/resizing-arrays,https://www.coursera.org/learn/algorithms-part1/lecture/xAltF/sorting-complexity
14,28,0,resizing arrays,comparators,https://www.coursera.org/learn/algorithms-part1/lecture/WTFO7/resizing-arrays,https://www.coursera.org/learn/algorithms-part1/lecture/9FYhS/comparators
14,29,0,resizing arrays,stability,https://www.coursera.org/learn/algorithms-part1/lecture/WTFO7/resizing-arrays,https://www.coursera.org/learn/algorithms-part1/lecture/pvvLZ/stability
14,30,0,resizing arrays,quicksort,https://www.coursera.org/learn/algorithms-part1/lecture/WTFO7/resizing-arrays,https://www.coursera.org/learn/algorithms-part1/lecture/vjvnC/quicksort
14,31,0,resizing arrays,selection,https://www.coursera.org/learn/algorithms-part1/lecture/WTFO7/resizing-arrays,https://www.coursera.org/learn/algorithms-part1/lecture/UQxFT/selection
14,32,0,resizing arrays,duplicate keys,https://www.coursera.org/learn/algorithms-part1/lecture/WTFO7/resizing-arrays,https://www.coursera.org/learn/algorithms-part1/lecture/XvjPd/duplicate-keys
14,36,0,resizing arrays,heapsort,https://www.coursera.org/learn/algorithms-part1/lecture/WTFO7/resizing-arrays,https://www.coursera.org/learn/algorithms-part1/lecture/ZjoSM/heapsort
14,37,0,resizing arrays,event driven simulation optional,https://www.coursera.org/learn/algorithms-part1/lecture/WTFO7/resizing-arrays,https://www.coursera.org/learn/algorithms-part1/lecture/QVhGs/event-driven-simulation-optional
14,38,0,resizing arrays,symbol table api,https://www.coursera.org/learn/algorithms-part1/lecture/WTFO7/resizing-arrays,https://www.coursera.org/learn/algorithms-part1/lecture/7WFvG/symbol-table-api
